日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/01/04,142.50,143.50,139.00,139.5,-3.50,"14,188"
105/01/05,139.00,140.00,137.00,138.0,-1.50,"15,836"
105/01/06,138.00,138.00,135.00,135.5,-2.50,"15,926"
105/01/07,134.50,135.00,130.50,133.0,-2.50,"19,061"
105/01/08,132.00,135.00,132.00,134.0,+1.00,"11,784"
105/01/11,133.00,134.50,130.50,133.0,-1.00,"10,980"
105/01/12,133.00,134.00,131.50,133.0, 0.00,"9,492"
105/01/13,133.50,135.50,133.00,133.5,+0.50,"9,488"
105/01/14,130.50,132.00,130.50,131.5,-2.00,"14,501"
105/01/15,137.50,138.00,135.50,137.0,+5.50,"20,280"
105/01/18,135.00,138.00,134.50,137.0, 0.00,"11,947"
105/01/19,137.50,138.00,136.00,138.0,+1.00,"8,146"
105/01/20,137.50,137.50,133.50,134.5,-3.50,"13,799"
105/01/21,134.00,136.50,134.00,135.0,+0.50,"9,956"
105/01/22,136.50,138.50,136.00,138.5,+3.50,"12,684"
105/01/25,140.00,140.00,139.00,139.5,+1.00,"9,105"
105/01/26,137.50,139.00,137.00,137.5,-2.00,"6,584"
105/01/27,139.00,139.50,138.50,139.5,+2.00,"8,368"
105/01/28,138.00,140.50,138.00,140.0,+0.50,"9,746"
105/01/29,138.50,143.00,138.00,143.0,+3.00,"14,517"
105/01/30,142.50,143.00,141.00,142.0,-1.00,"6,143"
105/02/01,144.00,144.00,141.50,144.0,+2.00,"12,189"
105/02/02,144.00,144.50,141.50,142.5,-1.50,"7,725"
105/02/03,145.00,146.00,144.50,146.0,+3.50,"18,892"
105/02/15,142.00,146.50,142.00,145.0,-1.00,"21,814"
105/02/16,146.00,148.00,145.50,147.5,+2.50,"17,135"
105/02/17,149.00,149.00,147.00,148.0,+0.50,"13,872"
105/02/18,150.00,151.00,149.50,151.0,+3.00,"22,057"
105/02/19,149.00,151.00,149.00,151.0, 0.00,"10,981"
105/02/22,149.50,152.50,149.50,151.0, 0.00,"9,155"
105/02/23,150.50,151.00,149.00,149.5,-1.50,"8,897"
105/02/24,149.50,150.50,147.00,148.0,-1.50,"7,979"
105/02/25,149.00,151.00,148.50,150.5,+2.50,"11,234"
105/02/26,151.00,151.50,148.00,149.0,-1.50,"9,939"
105/03/01,148.50,152.00,148.50,152.0,+3.00,"12,003"
105/03/02,154.00,154.50,153.00,153.0,+1.00,"11,075"
105/03/03,154.00,154.50,153.00,154.0,+1.00,"10,112"
105/03/04,153.00,153.50,151.50,152.5,-1.50,"10,724"
105/03/07,152.50,153.50,151.00,152.0,-0.50,"7,324"
105/03/08,151.00,152.00,149.50,152.0, 0.00,"13,764"
105/03/09,152.00,153.00,150.50,153.0,+1.00,"9,423"
105/03/10,153.00,154.50,151.50,154.5,+1.50,"10,930"
105/03/11,154.50,155.00,153.00,155.0,+0.50,"11,727"
