日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 99/01/04,65.00,65.00,64.00,64.9,+0.40,"8,255"
 99/01/05,65.00,65.10,63.90,64.5,-0.40,"9,205"
 99/01/06,64.50,64.90,63.70,64.9,+0.40,"12,597"
 99/01/07,64.90,65.00,64.20,64.2,-0.70,"11,195"
 99/01/08,63.50,64.30,63.50,64.0,-0.20,"9,804"
 99/01/11,64.00,64.90,63.50,64.5,+0.50,"8,066"
 99/01/12,64.40,64.40,63.30,63.6,-0.90,"12,865"
 99/01/13,63.00,63.10,62.60,62.8,-0.80,"10,609"
 99/01/14,63.60,63.60,63.00,63.2,+0.40,"8,755"
 99/01/15,62.90,63.50,62.80,63.5,+0.30,"11,048"
 99/01/18,62.80,63.10,62.80,62.9,-0.60,"9,875"
 99/01/19,63.00,63.20,62.00,62.5,-0.40,"14,132"
 99/01/20,62.90,63.20,62.20,63.0,+0.50,"13,043"
 99/01/21,63.00,63.00,62.10,62.6,-0.40,"8,212"
 99/01/22,61.50,61.70,61.00,61.1,-1.50,"18,967"
 99/01/25,60.10,60.80,60.10,60.4,-0.70,"18,763"
 99/01/26,60.60,61.20,60.00,60.1,-0.30,"17,643"
 99/01/27,60.10,60.40,59.50,59.6,-0.50,"13,505"
 99/01/28,60.50,61.50,59.80,60.0,+0.40,"11,197"
 99/01/29,60.10,61.50,59.40,61.5,+1.50,"18,337"
 99/02/01,60.70,60.70,59.50,59.8,-1.70,"16,893"
 99/02/02,60.20,60.40,59.00,59.0,-0.80,"15,211"
 99/02/03,60.20,60.30,58.80,59.8,+0.80,"9,966"
 99/02/04,60.00,60.00,59.00,59.1,-0.70,"11,819"
 99/02/05,57.60,57.90,57.20,57.2,-1.90,"18,203"
 99/02/06,57.60,58.10,57.30,58.0,+0.80,"5,867"
 99/02/08,58.00,58.20,57.00,57.4,-0.60,"11,834"
 99/02/09,58.40,59.20,57.70,58.6,+1.20,"10,807"
 99/02/10,59.00,59.20,58.20,58.4,-0.20,"13,992"
 99/02/22,60.50,60.50,59.00,59.0,+0.60,"15,040"
 99/02/23,59.60,59.90,59.10,59.8,+0.80,"11,574"
 99/02/24,59.20,59.20,58.40,58.5,-1.30,"13,513"
 99/02/25,58.50,58.90,57.90,58.2,-0.30,"12,447"
 99/02/26,58.20,58.90,58.00,58.8,+0.60,"8,183"
 99/03/01,59.50,59.90,58.20,59.6,+0.80,"14,348"
 99/03/02,60.50,60.50,59.50,59.9,+0.30,"13,024"
