日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 96/01/02,67.80,68.00,67.30,67.7,+0.20,"5,926"
 96/01/03,67.80,68.70,67.50,68.0,+0.30,"9,192"
 96/01/04,67.70,68.10,67.60,67.7,-0.30,"4,730"
 96/01/05,67.50,67.70,66.50,66.9,-0.80,"6,208"
 96/01/08,66.10,66.50,65.70,65.8,-1.10,"5,793"
 96/01/09,65.90,66.50,65.90,66.0,+0.20,"5,193"
 96/01/10,65.40,65.40,64.00,64.2,-1.80,"13,352"
 96/01/11,64.70,66.70,64.70,65.8,+1.60,"13,317"
 96/01/12,67.50,69.50,67.00,69.1,+3.30,"31,208"
 96/01/15,69.40,69.80,68.80,69.2,+0.10,"11,776"
 96/01/16,69.20,70.50,69.10,70.3,+1.10,"18,030"
 96/01/17,69.90,71.00,69.20,70.9,+0.60,"12,242"
 96/01/18,71.00,71.70,70.90,71.2,+0.30,"11,339"
 96/01/19,69.50,70.90,69.50,69.8,-1.40,"9,596"
 96/01/22,70.00,70.20,68.90,69.0,-0.80,"10,756"
 96/01/23,68.80,69.00,68.20,68.8,-0.20,"7,336"
 96/01/24,71.00,71.20,70.00,70.5,+1.70,"12,943"
 96/01/25,70.90,71.20,70.60,71.0,+0.50,"7,538"
 96/01/26,67.00,68.40,67.00,68.0,-3.00,"20,410"
 96/01/29,68.30,68.80,68.00,68.6,+0.60,"6,985"
 96/01/30,68.00,68.30,67.90,68.0,-0.60,"6,284"
 96/01/31,68.00,68.20,65.90,67.4,-0.60,"13,034"
 96/02/01,67.80,67.80,66.70,67.0,-0.40,"5,702"
 96/02/02,67.80,68.00,67.40,67.8,+0.80,"5,905"
 96/02/05,67.80,68.20,67.30,67.8, 0.00,"4,559"
 96/02/06,68.00,68.90,67.80,68.9,+1.10,"5,843"
 96/02/07,69.20,69.40,68.50,68.8,-0.10,"5,632"
 96/02/08,69.30,69.30,68.00,68.4,-0.40,"6,563"
 96/02/09,68.40,68.80,67.50,68.0,-0.40,"6,706"
 96/02/12,67.00,67.90,66.50,67.0,-1.00,"9,852"
 96/02/13,66.50,67.10,65.80,65.8,-1.20,"12,417"
 96/02/14,67.00,67.30,66.40,67.3,+1.50,"5,623"
 96/02/26,69.10,69.20,68.70,68.9,+1.60,"12,877"
 96/02/27,69.00,70.10,68.90,69.3,+0.40,"11,818"
 96/03/01,66.70,68.00,66.70,66.7,-2.60,"18,287"
 96/03/02,66.60,67.00,66.30,66.8,+0.10,"8,213"
 96/03/03,65.80,66.20,65.80,66.1,-0.70,"6,220"
 96/03/05,65.00,65.40,63.30,63.3,-2.80,"18,160"
 96/03/06,63.30,65.60,63.30,65.1,+1.80,"13,104"
 96/03/07,66.10,66.10,65.20,65.5,+0.40,"7,016"
 96/03/08,66.00,66.00,65.00,65.9,+0.40,"6,033"
 96/03/09,66.60,66.70,65.90,66.5,+0.60,"6,731"
 96/03/12,66.60,67.20,66.40,67.2,+0.70,"6,771"
 96/03/13,68.00,69.10,67.80,69.1,+1.90,"17,629"
 96/03/14,67.50,68.20,67.40,67.9,-1.20,"7,888"
 96/03/15,68.60,69.30,68.50,69.0,+1.10,"8,524"
 96/03/16,69.00,69.20,68.50,69.0, 0.00,"5,950"
 96/03/19,69.00,69.10,68.60,69.0, 0.00,"3,959"
 96/03/20,69.00,69.50,69.00,69.2,+0.20,"5,486"
 96/03/21,69.70,70.00,69.40,69.7,+0.50,"7,028"
 96/03/22,70.60,70.80,70.10,70.2,+0.50,"12,758"
 96/03/23,70.10,70.20,69.70,70.0,-0.20,"7,112"
 96/03/26,70.00,70.20,69.90,70.0, 0.00,"4,525"
 96/03/27,70.00,70.70,69.20,69.2,-0.80,"6,827"
 96/03/28,68.40,69.00,68.00,68.3,-0.90,"6,551"
 96/03/29,67.50,69.10,67.50,68.7,+0.40,"5,634"
 96/03/30,68.00,68.50,67.70,67.9,-0.80,"6,328"
 96/04/02,67.80,68.60,67.50,68.2,+0.30,"4,527"
 96/04/03,68.10,68.30,67.70,68.0,-0.20,"4,758"
 96/04/04,68.00,69.60,68.00,69.3,+1.30,"9,077"
 96/04/09,69.50,69.80,68.70,69.0,-0.30,"5,019"
 96/04/10,69.20,69.20,68.20,68.5,-0.50,"5,446"
 96/04/11,68.60,69.40,68.60,69.3,+0.80,"5,846"
 96/04/12,68.50,69.30,68.30,68.5,-0.80,"5,203"
 96/04/13,69.30,69.40,68.10,68.3,-0.20,"4,240"
 96/04/14,68.50,68.90,68.30,68.7,+0.40,"1,529"
 96/04/16,68.70,69.10,67.50,67.5,-1.20,"5,071"
 96/04/17,68.70,69.00,67.80,68.0,+0.50,"5,607"
 96/04/18,67.60,68.70,67.60,68.6,+0.60,"6,290"
 96/04/19,68.50,68.50,67.20,67.4,-1.20,"12,858"
 96/04/20,67.40,67.90,67.30,67.5,+0.10,"5,271"
 96/04/23,68.00,69.20,67.90,68.6,+1.10,"8,152"
 96/04/24,68.80,70.00,68.60,69.8,+1.20,"11,240"
 96/04/25,69.40,69.70,68.70,69.3,-0.50,"4,485"
 96/04/26,70.40,70.50,69.70,69.9,+0.60,"8,124"
 96/04/27,69.90,70.00,68.70,69.0,-0.90,"5,254"
 96/04/30,68.70,68.70,67.90,68.7,-0.30,"6,184"
 96/05/02,68.70,68.70,68.00,68.0,-0.70,"6,931"
 96/05/03,68.00,68.60,68.00,68.4,+0.40,"7,077"
 96/05/04,68.50,69.20,68.40,69.1,+0.70,"5,448"
 96/05/07,69.50,69.60,68.40,68.5,-0.60,"6,244"
 96/05/08,68.50,68.50,67.80,68.0,-0.50,"6,902"
 96/05/09,67.90,68.50,67.70,68.0, 0.00,"5,742"
 96/05/10,68.50,68.70,68.30,68.5,+0.50,"4,782"
 96/05/11,67.50,68.00,67.50,67.5,-1.00,"11,125"
 96/05/14,67.50,67.70,66.80,67.2,-0.30,"7,592"
 96/05/15,66.90,67.20,66.30,66.5,-0.70,"10,910"
 96/05/16,67.00,67.00,66.40,66.6,+0.10,"7,348"
 96/05/17,67.20,68.10,67.10,67.7,+1.10,"7,847"
 96/05/18,68.80,68.90,68.20,68.5,+0.80,"11,295"
 96/05/21,68.80,69.40,68.50,69.2,+0.70,"10,028"
 96/05/22,69.00,69.10,68.40,68.4,-0.80,"5,106"
 96/05/23,68.90,69.20,68.80,68.9,+0.50,"6,628"
 96/05/24,68.50,68.90,68.20,68.5,-0.40,"7,513"
 96/05/25,67.60,67.80,66.90,67.4,-1.10,"14,796"
 96/05/28,67.90,67.90,67.50,67.6,+0.20,"4,370"
 96/05/29,67.90,68.60,67.80,68.6,+1.00,"6,960"
 96/05/30,67.90,68.50,67.50,68.0,-0.60,"6,843"
 96/05/31,68.50,68.70,68.20,68.2,+0.20,"7,017"
 96/06/01,68.80,69.00,68.60,68.8,+0.60,"6,520"
 96/06/04,69.00,69.50,69.00,69.1,+0.30,"8,759"
 96/06/05,69.10,69.30,68.70,69.0,-0.10,"6,732"
 96/06/06,69.00,69.40,68.60,68.9,-0.10,"11,799"
 96/06/07,68.70,69.00,68.50,69.0,+0.10,"17,481"
 96/06/08,66.00,66.00,65.30,65.4,X0.00,"29,050"
 96/06/11,66.00,66.00,65.50,65.6,+0.20,"8,851"
 96/06/12,65.50,65.60,64.80,64.8,-0.80,"12,886"
 96/06/13,64.80,64.80,63.90,64.1,-0.70,"13,110"
 96/06/14,64.70,65.10,64.60,65.0,+0.90,"8,702"
 96/06/15,65.70,65.80,65.30,65.7,+0.70,"9,396"
 96/06/20,66.50,68.50,66.50,68.3,+2.60,"27,950"
 96/06/21,68.60,69.40,67.70,69.2,+0.90,"21,730"
 96/06/22,69.70,69.70,68.30,69.0,-0.20,"10,123"
 96/06/23,68.30,68.50,68.00,68.3,-0.70,"3,406"
 96/06/25,69.00,70.40,68.90,70.4,+2.10,"19,222"
 96/06/26,69.90,70.00,69.00,69.1,-1.30,"8,414"
 96/06/27,69.00,69.80,68.60,69.5,+0.40,"6,525"
 96/06/28,70.20,70.60,69.60,70.4,+0.90,"13,589"
