日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 94/01/03,51.00,51.50,50.50,51.0,+0.50,"3,799"
 94/01/04,50.00,50.50,49.60,49.6,-1.40,"5,717"
 94/01/05,48.80,48.80,48.50,48.5,-1.10,"7,999"
 94/01/06,48.10,48.40,47.90,48.0,-0.50,"7,788"
 94/01/07,47.80,47.90,47.50,47.8,-0.20,"7,675"
 94/01/10,47.80,48.80,47.80,48.5,+0.70,"6,034"
 94/01/11,48.30,48.60,48.00,48.2,-0.30,"4,117"
 94/01/12,47.80,48.10,47.00,47.0,-1.20,"7,722"
 94/01/13,47.30,47.80,46.50,46.8,-0.20,"6,580"
 94/01/14,46.50,47.10,46.20,47.0,+0.20,"7,434"
 94/01/17,47.80,48.90,47.60,48.9,+1.90,"8,299"
 94/01/18,48.90,49.20,48.60,49.1,+0.20,"5,343"
 94/01/19,49.10,49.30,47.70,47.7,-1.40,"5,182"
 94/01/20,47.40,48.50,47.40,48.0,+0.30,"5,656"
 94/01/21,47.70,48.00,47.50,47.5,-0.50,"4,184"
 94/01/24,47.50,47.60,46.90,47.0,-0.50,"4,576"
 94/01/25,46.70,47.70,46.70,47.6,+0.60,"5,781"
 94/01/26,48.00,49.40,47.90,49.2,+1.60,"13,649"
 94/01/27,49.20,49.50,48.90,49.4,+0.20,"7,771"
 94/01/28,49.60,51.00,49.60,50.0,+0.60,"14,158"
 94/01/31,50.50,52.50,50.50,52.0,+2.00,"23,244"
 94/02/01,52.50,53.00,52.00,52.5,+0.50,"17,248"
 94/02/02,53.00,54.00,53.00,53.5,+1.00,"15,632"
 94/02/03,53.50,54.00,52.50,53.5, 0.00,"11,933"
 94/02/14,54.50,55.50,54.00,54.5,+1.00,"12,208"
 94/02/15,54.50,55.50,54.50,55.0,+0.50,"12,694"
 94/02/16,55.00,55.00,53.50,54.5,-0.50,"6,994"
 94/02/17,54.50,54.50,53.00,53.5,-1.00,"7,316"
 94/02/18,53.50,54.50,53.00,54.0,+0.50,"6,626"
 94/02/21,54.00,54.50,53.50,54.5,+0.50,"4,184"
 94/02/22,54.00,54.50,53.50,54.0,-0.50,"3,811"
 94/02/23,53.50,54.00,52.50,53.5,-0.50,"6,341"
 94/02/24,53.00,53.50,52.50,53.0,-0.50,"4,114"
 94/02/25,54.00,55.00,54.00,55.0,+2.00,"15,611"
 94/03/01,54.50,54.90,54.00,54.3,-0.70,"7,076"
 94/03/02,54.30,54.70,54.00,54.1,-0.20,"5,839"
 94/03/03,54.00,54.00,53.20,53.5,-0.60,"6,033"
 94/03/04,53.00,53.10,52.10,52.5,-1.00,"10,228"
 94/03/07,52.50,53.10,52.30,52.8,+0.30,"4,491"
 94/03/08,53.50,54.20,52.80,53.7,+0.90,"6,309"
 94/03/09,52.70,53.40,52.70,53.0,-0.70,"4,530"
 94/03/10,52.80,52.80,51.70,52.0,-1.00,"6,882"
 94/03/11,52.10,52.90,52.10,52.5,+0.50,"4,278"
 94/03/14,51.90,52.00,51.30,51.5,-1.00,"5,926"
 94/03/15,51.40,51.50,51.00,51.1,-0.40,"4,899"
 94/03/16,51.00,52.00,51.00,52.0,+0.90,"5,492"
 94/03/17,51.00,51.50,50.70,50.9,-1.10,"6,417"
 94/03/18,51.00,51.40,50.70,50.9, 0.00,"3,751"
 94/03/21,50.80,50.80,50.30,50.6,-0.30,"6,142"
 94/03/22,50.30,50.80,49.90,50.5,-0.10,"5,719"
 94/03/23,49.90,50.50,49.80,50.3,-0.20,"5,496"
