日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/01/03,71.50,71.60,70.80,71.1,+0.10,"7,394"
100/01/04,71.00,71.60,70.80,71.2,+0.10,"8,813"
100/01/05,70.90,71.10,69.60,69.8,-1.40,"12,673"
100/01/06,69.80,71.00,69.70,71.0,+1.20,"8,619"
100/01/07,71.90,73.00,71.90,72.5,+1.50,"23,691"
100/01/10,73.00,74.20,72.60,74.2,+1.70,"16,369"
100/01/11,74.10,74.90,73.80,74.5,+0.30,"16,810"
100/01/12,74.70,75.00,74.70,74.9,+0.40,"10,433"
100/01/13,75.10,75.30,74.20,74.6,-0.30,"12,512"
100/01/14,74.40,74.80,74.10,74.8,+0.20,"5,767"
100/01/17,75.40,75.90,75.30,75.8,+1.00,"11,899"
100/01/18,75.50,77.40,75.20,76.8,+1.00,"13,917"
100/01/19,76.90,78.30,76.60,78.0,+1.20,"19,410"
100/01/20,77.00,77.00,76.10,76.4,-1.60,"14,962"
100/01/21,74.00,75.20,74.00,74.6,-1.80,"15,460"
100/01/24,75.20,75.40,74.60,75.3,+0.70,"8,248"
100/01/25,75.90,75.90,74.90,75.0,-0.30,"9,000"
100/01/26,74.60,75.20,74.30,74.6,-0.40,"11,664"
100/01/27,74.90,75.40,74.80,75.2,+0.60,"13,786"
100/01/28,75.20,76.90,74.90,76.3,+1.10,"22,572"
100/02/08,77.00,77.00,74.80,75.5,-0.80,"26,740"
100/02/09,75.50,75.60,73.80,73.8,-1.70,"20,142"
100/02/10,73.10,73.40,72.00,72.0,-1.80,"20,588"
100/02/11,72.20,72.40,70.90,71.4,-0.60,"26,850"
100/02/14,72.00,72.90,71.50,72.5,+1.10,"14,377"
100/02/15,72.40,73.10,71.40,72.5, 0.00,"13,726"
100/02/16,72.40,72.70,71.90,72.1,-0.40,"11,904"
100/02/17,72.40,72.90,71.60,72.5,+0.40,"11,030"
100/02/18,73.10,73.90,73.00,73.0,+0.50,"14,923"
100/02/21,73.10,73.40,72.30,73.4,+0.40,"7,394"
100/02/22,72.20,72.50,71.20,72.5,-0.90,"18,155"
100/02/23,71.50,71.90,70.50,71.0,-1.50,"19,137"
100/02/24,71.00,71.40,70.50,70.5,-0.50,"12,755"
100/02/25,70.60,71.10,69.90,70.5, 0.00,"17,438"
100/03/01,70.00,71.80,70.00,71.4,+0.90,"15,496"
100/03/02,70.80,71.00,70.40,70.4,-1.00,"12,752"
100/03/03,70.10,71.60,70.10,70.8,+0.40,"10,928"
100/03/04,71.50,72.00,71.30,71.8,+1.00,"11,646"
100/03/07,71.60,71.70,70.90,70.9,-0.90,"7,613"
100/03/08,70.50,71.80,70.50,71.5,+0.60,"9,129"
100/03/09,72.20,72.20,71.10,71.4,-0.10,"7,702"
100/03/10,72.10,72.10,70.10,70.5,-0.90,"13,650"
100/03/11,70.00,70.60,69.50,70.0,-0.50,"12,715"
100/03/14,70.30,70.50,69.10,70.3,+0.30,"10,839"
100/03/15,70.00,70.10,66.20,68.0,-2.30,"26,883"
100/03/16,68.80,69.10,68.10,68.5,+0.50,"12,755"
100/03/17,66.80,67.50,65.70,67.4,-1.10,"22,945"
100/03/18,67.80,68.40,67.20,68.3,+0.90,"13,797"
100/03/21,68.30,69.10,68.00,69.0,+0.70,"9,293"
100/03/22,69.50,69.50,68.40,68.6,-0.40,"8,792"
100/03/23,69.10,69.10,68.10,68.7,+0.10,"8,969"
100/03/24,69.10,70.10,69.00,69.4,+0.70,"10,271"
100/03/25,70.40,71.20,70.00,71.2,+1.80,"14,870"
100/03/28,70.60,71.00,70.30,71.0,-0.20,"8,150"
100/03/29,70.60,71.20,70.40,70.8,-0.20,"8,045"
100/03/30,70.30,70.80,70.00,70.3,-0.50,"11,251"
100/03/31,71.00,71.00,70.00,70.6,+0.30,"7,943"
100/04/01,70.70,70.80,70.10,70.7,+0.10,"5,174"
100/04/06,71.50,72.90,71.50,72.9,+2.20,"25,496"
100/04/07,73.00,73.00,72.30,72.8,-0.10,"9,827"
100/04/08,72.90,73.00,72.40,72.9,+0.10,"9,173"
100/04/11,73.00,73.00,70.90,71.1,-1.80,"10,791"
100/04/12,70.50,70.70,70.10,70.1,-1.00,"10,389"
100/04/13,70.10,70.80,70.00,70.7,+0.60,"6,801"
100/04/14,70.30,70.50,69.60,69.8,-0.90,"12,461"
100/04/15,70.00,70.00,69.10,69.2,-0.60,"11,026"
100/04/18,69.80,69.80,68.80,69.0,-0.20,"6,035"
100/04/19,68.50,68.50,68.00,68.1,-0.90,"9,788"
100/04/20,69.00,69.80,68.50,69.8,+1.70,"9,868"
100/04/21,70.70,71.30,70.30,70.7,+0.90,"12,730"
100/04/22,70.90,71.00,70.30,70.9,+0.20,"5,550"
100/04/25,71.00,71.10,70.10,70.3,-0.60,"4,696"
100/04/26,69.70,70.30,69.10,70.3, 0.00,"8,675"
100/04/27,71.50,72.70,71.50,72.3,+2.00,"17,352"
100/04/28,73.40,73.70,72.90,73.0,+0.70,"17,830"
100/04/29,73.70,73.90,72.90,73.2,+0.20,"17,949"
100/05/03,73.90,74.80,73.60,74.6,+1.40,"19,824"
100/05/04,74.40,74.40,73.00,73.8,-0.80,"10,039"
100/05/05,74.00,74.80,73.60,74.8,+1.00,"11,504"
100/05/06,75.00,75.60,74.40,75.0,+0.20,"14,830"
100/05/09,75.60,76.10,75.20,75.5,+0.50,"11,734"
100/05/10,75.60,75.60,74.40,74.4,-1.10,"9,744"
100/05/11,75.30,75.30,74.60,75.0,+0.60,"8,555"
100/05/12,74.20,76.00,74.10,75.7,+0.70,"13,621"
100/05/13,76.00,76.10,75.50,75.9,+0.20,"9,913"
100/05/16,75.90,75.90,74.70,74.9,-1.00,"6,607"
100/05/17,74.60,76.00,74.60,75.6,+0.70,"10,167"
100/05/18,75.30,75.80,74.90,75.3,-0.30,"6,393"
100/05/19,74.90,76.30,74.90,75.2,-0.10,"10,381"
100/05/20,76.00,76.00,74.90,75.5,+0.30,"6,934"
100/05/23,74.70,75.50,74.50,75.1,-0.40,"7,808"
100/05/24,74.90,75.10,74.20,74.8,-0.30,"7,252"
100/05/25,74.20,74.90,73.30,74.5,-0.30,"11,539"
100/05/26,75.00,75.00,74.00,74.2,-0.30,"6,184"
100/05/27,73.80,74.50,73.80,74.0,-0.20,"8,290"
100/05/30,74.00,75.30,74.00,75.1,+1.10,"7,159"
100/05/31,75.50,76.90,75.40,76.7,+1.60,"14,707"
100/06/01,76.30,77.30,76.30,77.0,+0.30,"12,368"
100/06/02,76.30,77.40,76.30,76.4,-0.60,"11,664"
100/06/03,77.00,77.20,76.10,77.2,+0.80,"7,149"
100/06/07,77.20,78.20,76.60,77.5,+0.30,"11,181"
100/06/08,77.10,78.00,77.10,77.5, 0.00,"8,862"
100/06/09,78.00,78.00,76.80,76.9,-0.60,"7,818"
100/06/10,77.00,77.50,75.10,75.3,-1.60,"15,429"
100/06/13,74.50,75.00,73.90,74.7,-0.60,"13,505"
100/06/14,74.50,76.40,74.50,76.2,+1.50,"11,341"
100/06/15,77.00,77.40,76.10,77.0,+0.80,"13,586"
100/06/16,76.00,76.20,75.40,75.5,-1.50,"11,314"
100/06/17,75.00,75.10,74.10,74.2,-1.30,"16,326"
100/06/20,74.60,75.40,74.10,74.9,+0.70,"7,386"
100/06/21,75.40,76.20,75.30,75.9,+1.00,"9,032"
100/06/22,76.30,76.30,74.60,75.0,-0.90,"9,351"
100/06/23,74.70,74.90,73.80,74.2,-0.80,"13,195"
100/06/24,73.60,73.60,71.90,72.9,-1.30,"16,470"
100/06/27,72.00,72.10,71.60,72.0,-0.90,"14,604"
100/06/28,72.10,72.60,71.80,72.5,+0.50,"16,823"
100/06/29,70.90,72.10,70.40,71.4,X0.00,"21,630"
100/06/30,71.40,72.20,71.30,72.2,+0.80,"11,473"
100/07/01,72.20,73.00,72.00,72.8,+0.60,"9,108"
100/07/04,73.90,73.90,73.10,73.5,+0.70,"10,247"
100/07/05,73.20,73.30,72.40,73.2,-0.30,"6,807"
100/07/06,73.20,73.40,72.50,72.8,-0.40,"6,816"
100/07/07,72.10,72.30,71.50,71.6,-1.20,"12,693"
100/07/08,72.10,72.80,72.00,72.5,+0.90,"8,251"
100/07/11,72.60,72.60,70.20,71.3,-1.20,"12,078"
100/07/12,70.60,70.80,70.10,70.3,-1.00,"8,940"
100/07/13,70.50,72.50,70.10,72.2,+1.90,"19,813"
100/07/14,70.50,71.40,70.10,70.7,-1.50,"13,982"
100/07/15,70.00,70.20,69.50,69.9,-0.80,"20,328"
100/07/18,69.70,70.20,69.40,69.7,-0.20,"7,786"
100/07/19,69.60,69.80,68.50,68.5,-1.20,"16,242"
100/07/20,69.70,71.70,69.40,71.6,+3.10,"18,930"
100/07/21,71.40,71.60,70.60,71.6, 0.00,"8,282"
100/07/22,72.40,72.40,71.70,72.0,+0.40,"10,571"
100/07/25,72.40,72.50,71.40,72.0, 0.00,"6,909"
100/07/26,72.30,73.70,72.30,73.7,+1.70,"14,102"
100/07/27,73.70,73.90,73.00,73.4,-0.30,"7,358"
100/07/28,72.80,73.40,72.30,73.0,-0.40,"7,741"
100/07/29,71.80,72.40,71.30,72.0,-1.00,"11,402"
100/08/01,72.00,72.80,72.00,72.6,+0.60,"9,646"
100/08/02,72.00,72.10,71.20,71.4,-1.20,"7,851"
100/08/03,70.10,70.50,69.80,70.1,-1.30,"11,372"
100/08/04,69.60,70.70,69.60,70.0,-0.10,"10,275"
100/08/05,66.00,68.00,66.00,66.6,-3.40,"22,333"
100/08/08,66.00,67.40,64.00,65.2,-1.40,"22,330"
100/08/09,62.50,65.10,62.20,63.3,-1.90,"25,582"
100/08/10,65.10,67.00,65.00,65.8,+2.50,"21,763"
100/08/11,64.60,66.80,64.00,66.4,+0.60,"15,680"
100/08/12,67.20,67.60,65.10,65.1,-1.30,"14,567"
100/08/15,66.90,66.90,65.90,66.8,+1.70,"9,150"
100/08/16,66.80,66.80,66.00,66.0,-0.80,"8,534"
100/08/17,66.00,66.20,65.30,65.8,-0.20,"8,105"
100/08/18,65.80,65.80,63.30,64.4,-1.40,"16,649"
100/08/19,63.10,63.90,63.00,63.9,-0.50,"11,160"
100/08/22,63.60,65.50,63.00,65.0,+1.10,"11,040"
100/08/23,65.00,67.10,65.00,66.8,+1.80,"13,627"
100/08/24,67.70,67.70,66.40,67.5,+0.70,"11,566"
100/08/25,67.40,67.60,66.40,67.0,-0.50,"8,297"
100/08/26,67.10,68.30,67.00,67.9,+0.90,"11,534"
100/08/29,68.60,69.90,68.10,69.4,+1.50,"11,936"
100/08/30,70.30,70.30,68.60,69.0,-0.40,"8,525"
100/08/31,69.10,69.40,67.80,69.4,+0.40,"13,887"
100/09/01,69.40,69.80,68.60,68.6,-0.80,"10,282"
100/09/02,69.50,69.50,67.10,67.5,-1.10,"13,796"
100/09/05,66.10,67.10,65.90,66.6,-0.90,"12,835"
100/09/06,66.50,67.20,66.10,66.1,-0.50,"9,801"
100/09/07,67.00,68.60,66.80,68.6,+2.50,"11,733"
100/09/08,69.60,69.60,68.40,68.7,+0.10,"9,523"
100/09/09,69.50,70.10,68.90,69.3,+0.60,"11,193"
100/09/13,69.60,70.00,68.40,68.4,-0.90,"8,661"
