日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
101/01/02,75.00,75.40,74.70,75.0,-0.80,"3,402"
101/01/03,75.50,75.90,75.20,75.7,+0.70,"5,659"
101/01/04,76.10,76.10,75.50,75.8,+0.10,"7,311"
101/01/05,76.00,76.00,75.30,76.0,+0.20,"7,053"
101/01/06,75.90,75.90,74.90,75.6,-0.40,"7,701"
101/01/09,75.20,75.60,74.60,75.6, 0.00,"5,106"
101/01/10,76.00,76.50,75.80,76.5,+0.90,"14,505"
101/01/11,76.80,77.00,76.10,76.5, 0.00,"9,749"
101/01/12,76.70,77.10,76.50,77.0,+0.50,"14,357"
101/01/13,77.20,78.00,77.00,77.5,+0.50,"15,399"
101/01/16,76.10,76.90,74.60,75.3,-2.20,"10,092"
101/01/17,75.90,75.90,74.90,75.6,+0.30,"9,194"
101/01/18,75.90,76.70,75.60,76.7,+1.10,"13,544"
101/01/30,78.00,79.50,77.20,78.7,+2.00,"22,750"
101/01/31,78.10,78.50,76.30,78.5,-0.20,"12,126"
101/02/01,77.50,77.70,76.70,77.0,-1.50,"11,945"
101/02/02,77.50,77.50,76.10,76.8,-0.20,"13,604"
101/02/03,76.30,76.40,75.60,76.2,-0.60,"12,987"
101/02/04,76.40,76.70,76.00,76.5,+0.30,"6,273"
101/02/06,77.30,77.50,76.60,77.4,+0.90,"12,277"
101/02/07,77.50,77.50,76.80,77.4, 0.00,"6,097"
101/02/08,77.50,77.50,76.90,77.5,+0.10,"9,080"
101/02/09,77.00,78.00,76.50,78.0,+0.50,"13,075"
101/02/10,78.00,78.00,76.70,76.9,-1.10,"10,331"
101/02/13,76.40,77.10,76.20,76.6,-0.30,"9,645"
101/02/14,77.10,77.40,76.20,77.3,+0.70,"9,112"
101/02/15,77.60,78.50,77.60,78.5,+1.20,"15,396"
101/02/16,78.50,78.90,78.00,78.5, 0.00,"11,614"
101/02/17,79.50,81.10,79.40,80.0,+1.50,"14,200"
101/02/20,80.60,80.80,79.70,80.0, 0.00,"6,826"
101/02/21,80.00,80.00,79.30,80.0, 0.00,"7,394"
101/02/22,79.90,80.00,79.00,79.7,-0.30,"9,208"
101/02/23,79.00,79.40,77.70,78.1,-1.60,"14,125"
101/02/24,77.50,79.10,77.20,79.1,+1.00,"8,549"
101/02/29,80.20,81.10,79.40,81.1,+2.00,"18,172"
101/03/01,81.00,81.00,80.10,80.1,-1.00,"6,032"
101/03/02,80.00,80.10,79.20,80.0,-0.10,"7,219"
101/03/03,79.10,79.60,79.10,79.3,-0.70,"2,856"
101/03/05,78.70,79.60,78.50,78.9,-0.40,"7,120"
101/03/06,79.60,79.60,78.30,79.5,+0.60,"6,610"
101/03/07,79.00,79.30,78.70,79.1,-0.40,"7,673"
101/03/08,79.80,80.20,79.20,79.7,+0.60,"8,363"
101/03/09,79.50,80.00,78.80,80.0,+0.30,"5,725"
101/03/12,80.20,80.50,79.60,80.0, 0.00,"9,433"
101/03/13,80.60,81.30,80.10,81.3,+1.30,"13,492"
101/03/14,82.40,83.20,82.00,83.2,+1.90,"19,676"
101/03/15,83.20,83.20,82.50,83.2, 0.00,"8,083"
101/03/16,83.20,83.80,81.10,81.1,-2.10,"7,247"
101/03/19,83.70,84.20,82.40,83.7,+2.60,"9,547"
101/03/20,84.00,84.10,82.80,83.2,-0.50,"10,460"
101/03/21,84.80,85.20,83.80,84.9,+1.70,"15,662"
101/03/22,85.00,85.70,84.30,85.2,+0.30,"11,767"
101/03/23,85.00,85.40,84.40,85.4,+0.20,"7,136"
101/03/26,85.10,85.10,82.50,83.6,-1.80,"12,949"
101/03/27,85.00,85.80,84.30,85.8,+2.20,"12,672"
101/03/28,86.50,86.50,84.60,85.5,-0.30,"7,402"
101/03/29,84.50,84.50,83.40,84.1,-1.40,"9,545"
101/03/30,83.70,84.90,82.90,84.9,+0.80,"9,943"
101/04/02,84.80,85.20,84.00,85.1,+0.20,"5,739"
101/04/03,85.00,85.00,83.80,85.0,-0.10,"9,307"
101/04/05,83.30,84.00,83.10,83.1,-1.90,"10,496"
101/04/06,84.00,84.00,83.10,83.8,+0.70,"6,984"
101/04/09,82.00,83.60,82.00,83.0,-0.80,"4,830"
101/04/10,83.10,83.50,81.80,82.0,-1.00,"8,736"
101/04/11,82.00,83.50,81.70,82.4,+0.40,"9,982"
101/04/12,82.50,82.70,81.50,82.6,+0.20,"9,060"
