日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/01/02,231.50,232.50,231.00,232.5,+3.00,"9,954"
107/01/03,236.00,238.00,235.50,237.0,+4.50,"13,633"
107/01/04,240.00,240.00,236.50,239.5,+2.50,"10,953"
107/01/05,240.00,240.00,238.00,240.0,+0.50,"8,659"
107/01/08,242.00,242.50,240.50,242.0,+2.00,"10,251"
107/01/09,242.00,242.00,239.50,242.0, 0.00,"7,124"
107/01/10,241.50,242.00,236.00,236.5,-5.50,"10,534"
107/01/11,235.00,236.00,232.50,235.0,-1.50,"9,199"
107/01/12,234.50,238.00,233.50,237.0,+2.00,"7,905"
107/01/15,240.00,240.00,238.00,240.0,+3.00,"9,756"
107/01/16,240.00,240.50,238.00,240.5,+0.50,"8,156"
107/01/17,240.50,243.00,239.00,242.0,+1.50,"12,593"
107/01/18,245.00,250.00,245.00,248.5,+6.50,"19,482"
107/01/19,253.50,255.50,251.50,255.5,+7.00,"18,801"
107/01/22,257.50,262.00,257.00,261.5,+6.00,"13,558"
107/01/23,262.50,266.00,262.50,266.0,+4.50,"13,993"
107/01/24,263.00,263.00,256.50,258.0,-8.00,"17,287"
107/01/25,258.00,264.00,256.50,258.0, 0.00,"15,826"
107/01/26,256.50,257.50,253.50,255.0,-3.00,"12,821"
107/01/29,259.00,261.50,255.00,258.5,+3.50,"12,211"
107/01/30,256.00,257.50,252.50,253.0,-5.50,"12,987"
107/01/31,253.00,257.50,252.00,255.0,+2.00,"13,553"
107/02/01,257.50,261.00,257.00,259.5,+4.50,"13,598"
107/02/02,259.00,260.00,255.00,259.5, 0.00,"11,404"
107/02/05,251.00,254.50,250.50,253.0,-6.50,"16,909"
107/02/06,242.50,243.50,234.00,239.0,-14.00,"35,455"
107/02/07,245.00,245.50,239.50,240.0,+1.00,"22,962"
107/02/08,239.50,242.00,238.00,238.5,-1.50,"10,274"
107/02/09,230.00,233.00,228.50,232.5,-6.00,"19,749"
107/02/12,235.50,237.50,235.00,236.5,+4.00,"10,851"
107/02/21,244.50,244.50,242.00,242.5,+6.00,"21,512"
107/02/22,244.00,244.00,239.00,239.5,-3.00,"10,071"
107/02/23,241.00,245.00,241.00,245.0,+5.50,"10,178"
107/02/26,247.00,247.50,245.00,246.5,+1.50,"12,565"
107/02/27,250.50,250.50,246.00,246.0,-0.50,"10,908"
107/03/01,244.00,245.00,242.00,243.0,-3.00,"11,589"
107/03/02,240.00,241.00,238.50,240.0,-3.00,"10,440"
107/03/05,242.50,243.00,240.50,241.5,+1.50,"9,321"
107/03/06,245.50,250.00,245.50,250.0,+8.50,"13,977"
107/03/07,248.00,248.50,246.00,247.0,-3.00,"10,521"
107/03/08,249.50,251.50,249.00,249.5,+2.50,"8,817"
107/03/09,250.00,251.00,248.50,250.5,+1.00,"7,050"
107/03/12,252.00,255.00,251.50,254.0,+3.50,"10,550"
107/03/13,255.50,259.00,255.00,259.0,+5.00,"11,700"
107/03/14,256.50,257.50,255.50,257.0,-2.00,"8,518"
107/03/15,258.00,258.00,255.00,255.0,-2.00,"5,945"
107/03/16,253.00,256.00,249.50,255.0, 0.00,"18,058"
107/03/19,252.50,255.50,251.00,255.0, 0.00,"9,888"
107/03/20,253.00,254.00,251.50,253.0,-2.00,"9,334"
