日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 92/01/02,43.00,43.40,42.40,42.5,-0.10,"5,575"
 92/01/03,44.00,45.00,43.60,44.8,+2.30,"9,524"
 92/01/06,44.80,45.70,44.40,44.8, 0.00,"8,316"
 92/01/07,45.70,46.90,45.40,45.4,+0.60,"11,158"
 92/01/08,45.50,47.40,45.40,46.5,+1.10,"11,698"
 92/01/09,46.00,46.40,45.50,46.0,-0.50,"6,927"
 92/01/10,47.20,47.30,46.90,47.2,+1.20,"9,848"
 92/01/13,48.00,50.50,48.00,50.5,+3.30,"22,223"
 92/01/14,51.00,51.00,50.00,50.5, 0.00,"12,630"
 92/01/15,50.50,51.00,49.60,50.5, 0.00,"9,413"
 92/01/16,50.50,50.50,48.60,48.6,-1.90,"9,013"
 92/01/17,48.00,49.20,47.50,48.8,+0.20,"10,624"
 92/01/20,47.60,48.00,47.00,47.9,-0.90,"8,305"
 92/01/21,47.90,48.50,47.50,47.6,-0.30,"6,729"
 92/01/22,47.60,48.00,46.90,47.8,+0.20,"6,014"
 92/01/23,48.80,51.00,48.80,50.5,+2.70,"15,536"
 92/01/24,51.00,51.50,49.10,49.4,-1.10,"9,921"
 92/01/27,48.70,48.90,48.10,48.9,-0.50,"5,865"
 92/01/28,46.20,48.40,46.00,47.7,-1.20,"10,483"
 92/02/06,44.50,45.00,44.40,44.4,-3.30,"9,441"
 92/02/07,41.30,42.70,41.30,42.0,-2.40,"25,182"
 92/02/10,41.30,41.30,40.50,40.7,-1.30,"12,113"
 92/02/11,41.30,42.00,41.20,41.5,+0.80,"11,805"
 92/02/12,40.90,41.20,40.10,40.4,-1.10,"14,400"
 92/02/13,40.40,41.10,40.20,40.2,-0.20,"11,601"
 92/02/14,41.10,41.30,40.60,41.0,+0.80,"9,872"
 92/02/17,43.80,43.80,42.80,43.8,+2.80,"14,959"
 92/02/18,43.80,43.80,42.80,42.9,-0.90,"8,365"
 92/02/19,43.90,43.90,43.00,43.0,+0.10,"9,254"
 92/02/20,43.00,44.20,42.80,44.1,+1.10,"11,955"
 92/02/21,45.00,45.90,44.70,44.9,+0.80,"17,436"
 92/02/24,45.20,45.50,44.50,45.3,+0.40,"8,649"
 92/02/25,45.00,45.00,43.00,43.0,-2.30,"9,226"
 92/02/26,43.20,43.70,42.70,42.8,-0.20,"8,487"
 92/02/27,42.10,42.80,41.50,42.0,-0.80,"7,564"
 92/03/03,42.90,44.30,42.60,44.0,+2.00,"8,392"
 92/03/04,43.20,43.40,42.80,43.4,-0.60,"5,125"
 92/03/05,42.00,42.30,41.50,41.6,-1.80,"9,361"
 92/03/06,41.60,41.90,41.30,41.4,-0.20,"6,820"
 92/03/07,41.20,42.60,41.00,41.6,+0.20,"7,771"
 92/03/10,42.30,42.90,42.00,42.6,+1.00,"9,800"
 92/03/11,42.00,43.30,42.00,42.5,-0.10,"7,112"
 92/03/12,42.60,43.00,42.50,43.0,+0.50,"4,959"
 92/03/13,43.00,44.40,42.80,44.1,+1.10,"12,092"
 92/03/14,46.80,46.80,45.30,45.5,+1.40,"20,818"
 92/03/17,45.00,45.20,44.00,44.0,-1.50,"8,805"
 92/03/18,46.40,47.00,46.00,47.0,+3.00,"24,085"
 92/03/19,47.40,48.20,47.00,47.9,+0.90,"20,311"
 92/03/20,49.00,49.70,48.00,48.6,+0.70,"24,841"
 92/03/21,48.80,48.80,47.90,48.5,-0.10,"9,102"
 92/03/24,48.90,49.00,48.30,48.5, 0.00,"7,843"
 92/03/25,47.00,47.30,46.30,46.6,-1.90,"10,362"
 92/03/26,47.20,47.60,47.00,47.0,+0.40,"7,980"
 92/03/27,45.00,45.60,44.00,44.9,-2.10,"19,550"
 92/03/28,44.70,45.00,43.50,44.4,-0.50,"10,988"
 92/03/31,43.50,43.80,42.10,42.3,-2.10,"12,900"
 92/04/01,41.50,42.20,41.40,42.2,-0.10,"13,706"
 92/04/02,42.50,43.20,42.00,42.8,+0.60,"6,884"
 92/04/03,44.50,44.80,43.70,43.9,+1.10,"12,076"
 92/04/04,43.90,45.40,43.60,45.2,+1.30,"12,943"
 92/04/07,45.30,46.50,44.90,46.2,+1.00,"13,088"
 92/04/08,46.00,46.50,45.60,45.7,-0.50,"10,070"
 92/04/09,45.10,45.30,44.60,44.8,-0.90,"7,681"
 92/04/10,44.70,45.30,44.30,44.5,-0.30,"8,482"
 92/04/11,44.60,44.90,44.40,44.8,+0.30,"5,302"
 92/04/14,44.80,45.30,43.60,43.6,-1.20,"7,883"
 92/04/15,44.40,44.70,43.90,44.7,+1.10,"6,597"
 92/04/16,45.70,47.00,45.70,46.9,+2.20,"19,763"
 92/04/17,46.90,47.00,45.80,45.8,-1.10,"10,872"
 92/04/18,47.20,47.90,47.10,47.5,+1.70,"13,368"
 92/04/21,47.50,48.30,47.00,48.3,+0.80,"8,861"
 92/04/22,47.90,47.90,46.80,47.0,-1.30,"8,439"
 92/04/23,47.90,48.40,47.60,48.3,+1.30,"20,235"
 92/04/24,48.00,48.00,46.80,47.3,-1.00,"12,466"
 92/04/25,46.00,46.90,45.20,45.5,-1.80,"12,831"
 92/04/28,44.10,44.30,43.00,44.0,-1.50,"12,517"
 92/04/29,44.90,45.50,44.40,45.1,+1.10,"11,820"
 92/04/30,48.20,48.20,47.40,47.8,+2.70,"31,755"
 92/05/02,47.70,48.40,47.70,48.3,+0.50,"14,851"
 92/05/05,48.50,49.00,48.30,48.5,+0.20,"10,933"
 92/05/06,48.50,48.90,47.60,47.8,-0.70,"8,277"
 92/05/07,48.00,48.10,47.30,47.7,-0.10,"8,200"
 92/05/08,47.50,47.50,46.70,46.7,-1.00,"6,559"
 92/05/09,46.80,47.80,46.80,47.5,+0.80,"7,516"
 92/05/12,48.20,48.60,48.00,48.3,+0.80,"11,077"
 92/05/13,49.20,49.80,49.00,49.2,+0.90,"13,130"
 92/05/14,49.00,49.20,48.80,49.2, 0.00,"7,396"
 92/05/15,49.20,49.50,48.80,49.5,+0.30,"7,128"
 92/05/16,49.80,50.00,48.80,48.8,-0.70,"7,540"
 92/05/19,48.80,49.10,48.20,48.9,+0.10,"6,283"
 92/05/20,47.80,48.30,47.60,48.0,-0.90,"6,870"
 92/05/21,48.00,48.10,47.60,48.0, 0.00,"6,571"
 92/05/22,47.70,48.40,47.40,48.0, 0.00,"9,160"
 92/05/23,48.40,49.30,48.20,49.1,+1.10,"10,500"
 92/05/26,49.50,49.90,49.50,49.8,+0.70,"8,625"
 92/05/27,49.80,49.90,49.30,49.3,-0.50,"6,294"
 92/05/28,50.50,51.50,50.50,50.5,+1.20,"14,707"
 92/05/29,51.00,52.00,51.00,52.0,+1.50,"19,619"
 92/05/30,52.00,55.00,52.00,53.5,+1.50,"23,827"
 92/06/02,55.00,57.00,54.50,56.5,+3.00,"24,456"
 92/06/03,56.00,56.50,55.50,56.0,-0.50,"10,731"
 92/06/05,56.50,58.50,56.50,57.5,+1.50,"15,438"
 92/06/06,58.00,58.50,57.50,58.5,+1.00,"12,088"
 92/06/09,58.00,60.00,57.50,59.0,+0.50,"12,625"
 92/06/10,58.00,58.50,57.00,57.5,-1.50,"8,884"
 92/06/11,58.00,58.00,56.50,56.5,-1.00,"8,894"
 92/06/12,56.50,60.00,56.00,58.5,+2.00,"14,990"
 92/06/13,57.50,57.50,56.50,57.0,-1.50,"9,263"
 92/06/16,56.00,57.00,56.00,56.0,-1.00,"9,331"
 92/06/17,57.00,58.50,56.50,58.0,+2.00,"11,648"
 92/06/18,59.00,59.50,58.50,59.0,+1.00,"12,217"
 92/06/19,59.50,59.50,58.50,59.0, 0.00,"7,847"
 92/06/20,59.00,59.50,58.00,58.5,-0.50,"6,229"
 92/06/23,58.00,59.00,57.50,57.5,-1.00,"4,888"
 92/06/24,56.50,57.00,56.00,57.0,-0.50,"8,391"
 92/06/25,56.50,58.00,56.00,57.0, 0.00,"6,122"
 92/06/26,57.00,58.00,56.50,57.0, 0.00,"4,611"
 92/06/27,57.50,58.00,56.50,57.0, 0.00,"4,990"
 92/06/30,56.50,57.50,56.50,57.0, 0.00,"4,495"
 92/07/01,57.00,58.50,57.00,58.5,+1.50,"8,461"
 92/07/02,59.00,60.00,58.50,60.0,+1.50,"10,375"
 92/07/03,61.00,63.00,61.00,61.0,+1.00,"12,820"
 92/07/04,61.50,62.00,61.00,62.0,+1.00,"13,971"
 92/07/07,59.00,61.00,58.50,61.0,X0.00,"14,683"
 92/07/08,62.00,62.50,61.00,62.0,+1.00,"13,818"
 92/07/09,60.00,61.00,59.50,60.5,-1.50,"8,062"
 92/07/10,60.50,60.50,57.50,57.5,-3.00,"10,551"
 92/07/11,56.50,57.50,56.00,57.5, 0.00,"9,872"
 92/07/14,58.00,60.00,58.00,59.5,+2.00,"9,520"
 92/07/15,60.00,60.50,58.50,59.5, 0.00,"5,938"
 92/07/16,59.50,60.00,58.50,59.5, 0.00,"4,885"
 92/07/17,59.00,59.50,58.00,58.0,-1.50,"6,416"
 92/07/18,57.00,58.50,57.00,58.0, 0.00,"5,384"
 92/07/21,58.00,59.00,57.00,57.0,-1.00,"5,664"
 92/07/22,56.00,57.50,56.00,56.5,-0.50,"6,445"
 92/07/23,57.00,58.50,57.00,57.5,+1.00,"6,269"
 92/07/24,58.00,58.50,57.50,58.5,+1.00,"8,331"
 92/07/25,57.50,58.00,57.00,57.0,-1.50,"7,134"
 92/07/28,58.00,58.50,57.50,58.0,+1.00,"5,436"
 92/07/29,58.00,58.00,57.00,57.0,-1.00,"3,958"
 92/07/30,57.00,57.50,56.00,57.0, 0.00,"8,400"
 92/07/31,56.00,59.00,56.00,59.0,+2.00,"14,653"
 92/08/01,59.50,60.50,59.00,60.0,+1.00,"16,018"
 92/08/04,60.00,60.50,59.00,60.0, 0.00,"7,621"
 92/08/05,60.00,60.50,58.50,58.5,-1.50,"7,023"
 92/08/06,58.00,59.00,58.00,58.5, 0.00,"4,641"
 92/08/07,58.50,60.00,58.00,60.0,+1.50,"7,125"
 92/08/08,59.50,59.50,58.00,58.0,-2.00,"7,551"
 92/08/11,57.00,57.50,56.00,57.0,-1.00,"9,083"
 92/08/12,57.00,58.00,57.00,57.0, 0.00,"5,283"
 92/08/13,58.00,59.50,58.00,59.0,+2.00,"7,953"
 92/08/14,59.50,60.50,59.00,59.5,+0.50,"10,068"
 92/08/15,60.00,61.00,60.00,61.0,+1.50,"12,752"
 92/08/18,61.00,61.50,60.00,61.5,+0.50,"10,300"
 92/08/19,63.00,63.50,62.00,62.5,+1.00,"16,853"
 92/08/20,63.00,63.50,62.50,63.0,+0.50,"10,320"
 92/08/21,63.00,64.00,62.50,64.0,+1.00,"10,454"
 92/08/22,64.00,64.50,63.50,64.0, 0.00,"7,436"
 92/08/25,64.00,64.50,63.50,64.5,+0.50,"6,730"
 92/08/26,64.00,64.00,62.50,63.0,-1.50,"5,926"
 92/08/27,63.00,65.00,63.00,64.0,+1.00,"8,908"
 92/08/28,65.00,66.50,64.50,65.5,+1.50,"14,809"
 92/08/29,65.50,67.50,65.00,67.0,+1.50,"14,047"
 92/09/01,67.50,68.00,66.50,67.5,+0.50,"8,761"
 92/09/02,67.00,67.50,66.00,67.0,-0.50,"6,071"
 92/09/03,67.50,67.50,66.50,66.5,-0.50,"5,536"
 92/09/04,66.50,67.00,66.00,66.0,-0.50,"5,542"
 92/09/05,67.50,69.00,67.50,68.0,+2.00,"9,216"
 92/09/08,68.50,71.00,68.00,71.0,+3.00,"14,461"
 92/09/09,72.50,72.50,70.50,70.5,-0.50,"12,772"
 92/09/10,70.00,70.50,69.00,69.5,-1.00,"9,045"
 92/09/12,68.50,69.00,68.00,68.0,-1.50,"10,078"
 92/09/15,68.00,68.00,66.50,67.0,-1.00,"7,011"
 92/09/16,66.00,68.50,66.00,68.5,+1.50,"7,059"
 92/09/17,69.50,72.00,69.50,71.5,+3.00,"15,811"
 92/09/18,71.00,71.50,70.00,70.5,-1.00,"7,611"
 92/09/19,70.50,71.00,69.00,69.0,-1.50,"7,972"
 92/09/22,68.50,68.50,67.50,67.5,-1.50,"7,719"
 92/09/23,67.00,68.00,66.50,68.0,+0.50,"6,243"
 92/09/24,68.00,68.00,67.00,68.0, 0.00,"6,918"
 92/09/25,66.50,67.00,66.00,66.5,-1.50,"7,524"
 92/09/26,66.50,67.00,65.50,66.0,-0.50,"8,827"
 92/09/29,66.00,67.50,65.50,66.5,+0.50,"5,174"
 92/09/30,66.50,67.50,66.50,66.5, 0.00,"5,265"
 92/10/01,66.50,67.00,66.00,66.5, 0.00,"3,749"
 92/10/02,67.50,68.50,67.00,68.5,+2.00,"8,629"
 92/10/03,69.00,70.00,68.00,70.0,+1.50,"9,417"
 92/10/06,71.50,71.50,70.00,71.0,+1.00,"10,241"
 92/10/07,71.00,71.00,69.00,70.0,-1.00,"6,532"
 92/10/08,70.00,70.50,69.00,69.5,-0.50,"5,981"
 92/10/09,68.50,69.50,68.00,69.0,-0.50,"6,871"
 92/10/13,69.50,70.50,69.50,70.0,+1.00,"6,719"
 92/10/14,70.50,71.00,68.50,68.5,-1.50,"5,176"
 92/10/15,68.50,69.50,68.00,68.0,-0.50,"6,869"
