日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 98/01/05,46.00,47.10,45.80,46.25,+1.85,"11,345"
 98/01/06,46.05,46.25,45.00,45.6,-0.65,"8,924"
 98/01/07,45.95,46.45,44.20,44.55,-1.05,"16,340"
 98/01/08,43.50,43.50,41.50,41.55,-3.00,"23,371"
 98/01/09,40.80,42.40,40.50,41.0,-0.55,"20,629"
 98/01/10,41.00,41.45,40.50,41.0, 0.00,"6,352"
 98/01/12,40.50,41.90,40.50,41.65,+0.65,"13,130"
 98/01/13,42.80,43.95,41.70,43.8,+2.15,"18,358"
 98/01/14,43.50,44.00,43.00,43.0,-0.80,"12,777"
 98/01/15,41.10,41.30,40.55,41.0,-2.00,"19,393"
 98/01/16,42.00,42.00,41.15,41.7,+0.70,"8,306"
 98/01/17,41.70,41.80,41.25,41.45,-0.25,"2,838"
 98/01/19,41.00,41.40,40.90,41.0,-0.45,"12,445"
 98/01/20,40.00,40.00,39.60,39.6,-1.40,"20,043"
 98/01/21,39.00,40.40,38.70,40.2,+0.60,"15,040"
 98/02/02,41.20,42.35,40.55,41.8,+1.60,"22,066"
 98/02/03,43.05,43.05,42.30,42.85,+1.05,"14,701"
 98/02/04,43.00,43.05,42.75,42.9,+0.05,"12,682"
 98/02/05,42.90,43.30,42.40,42.4,-0.50,"10,548"
 98/02/06,44.00,45.00,43.90,44.7,+2.30,"21,981"
 98/02/09,46.40,46.60,45.40,45.5,+0.80,"19,630"
 98/02/10,46.00,46.00,44.80,44.85,-0.65,"10,291"
 98/02/11,44.00,46.10,44.00,46.05,+1.20,"16,421"
 98/02/12,46.20,46.45,44.90,45.35,-0.70,"16,917"
 98/02/13,45.80,46.25,45.80,45.95,+0.60,"9,472"
 98/02/16,46.95,46.95,45.75,45.85,-0.10,"8,929"
 98/02/17,45.10,45.40,43.05,43.8,-2.05,"17,134"
 98/02/18,44.00,45.30,43.60,44.6,+0.80,"12,844"
 98/02/19,45.20,46.20,44.00,45.4,+0.80,"12,649"
 98/02/20,44.15,44.80,43.85,43.9,-1.50,"17,129"
 98/02/23,43.80,45.20,43.50,45.0,+1.10,"11,761"
 98/02/24,43.95,44.40,43.50,44.0,-1.00,"16,432"
 98/02/25,45.00,45.30,44.30,44.7,+0.70,"12,424"
 98/02/26,45.00,45.25,44.60,45.0,+0.30,"9,513"
 98/02/27,45.30,45.45,44.80,44.95,-0.05,"12,742"
 98/03/02,46.00,46.00,44.15,44.75,-0.20,"19,389"
 98/03/03,44.80,44.85,44.25,44.6,-0.15,"11,862"
 98/03/04,45.35,46.00,44.80,46.0,+1.40,"18,827"
 98/03/05,46.85,47.40,46.00,46.6,+0.60,"18,855"
 98/03/06,47.00,48.75,46.85,48.5,+1.90,"24,905"
 98/03/09,48.00,48.60,47.00,48.25,-0.25,"15,201"
 98/03/10,46.50,47.45,46.50,47.15,-1.10,"19,966"
 98/03/11,48.60,49.00,48.00,48.7,+1.55,"20,556"
 98/03/12,48.60,48.70,47.95,48.25,-0.45,"11,756"
 98/03/13,49.00,50.00,48.80,49.5,+1.25,"18,079"
 98/03/16,50.00,50.10,49.85,50.0,+0.50,"12,317"
 98/03/17,50.00,50.20,49.65,50.0, 0.00,"11,558"
 98/03/18,50.20,50.50,49.75,50.4,+0.40,"11,541"
 98/03/19,50.50,50.60,49.10,49.2,-1.20,"11,440"
 98/03/20,49.70,49.70,47.70,47.7,-1.50,"14,079"
 98/03/23,48.40,50.40,48.40,50.3,+2.60,"13,916"
