日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 90/01/02,78.00,83.50,77.50,83.5,+5.00,"11,090"
 90/01/03,80.50,82.50,79.50,80.5,-3.00,"10,951"
 90/01/04,85.50,86.00,83.50,85.0,+4.50,"18,595"
 90/01/05,85.00,90.50,85.00,90.5,+5.50,"19,000"
 90/01/08,89.50,93.50,88.00,89.5,-1.00,"16,223"
 90/01/09,90.50,93.00,90.50,93.0,+3.50,"13,900"
 90/01/10,94.00,95.00,92.50,94.0,+1.00,"12,083"
 90/01/11,95.00,95.50,92.00,92.5,-1.50,"12,276"
 90/01/12,93.00,94.00,92.50,94.0,+1.50,"7,296"
 90/01/15,94.00,94.50,92.50,94.5,+0.50,"6,824"
 90/01/16,94.00,101.00,94.00,101.0,+6.50,"20,916"
 90/01/17,101.00,103.00,99.50,101.0, 0.00,"16,831"
 90/01/18,103.00,103.50,101.00,102.0,+1.00,"16,840"
 90/01/29,100.00,101.50,97.00,97.0,-5.00,"9,014"
 90/01/30,97.00,99.00,96.00,99.0,+2.00,"7,843"
 90/01/31,100.50,105.50,99.50,105.5,+6.50,"16,135"
 90/02/01,104.00,105.50,101.00,101.5,-4.00,"9,400"
 90/02/02,102.00,104.50,100.50,100.5,-1.00,"11,958"
 90/02/05,99.00,100.00,98.00,98.5,-2.00,"8,616"
 90/02/06,98.00,100.50,97.50,98.0,-0.50,"8,666"
 90/02/07,91.50,94.00,91.50,91.5,-6.50,"19,366"
 90/02/08,90.00,91.50,88.50,90.5,-1.00,"9,941"
 90/02/09,91.50,93.00,89.50,91.5,+1.00,"9,318"
 90/02/12,91.00,92.50,90.00,92.0,+0.50,"6,080"
 90/02/13,93.50,98.00,93.00,98.0,+6.00,"10,772"
 90/02/14,98.00,99.00,93.00,94.0,-4.00,"9,207"
 90/02/15,96.50,100.50,96.00,100.5,+6.50,"15,867"
 90/02/16,100.50,101.00,97.50,98.0,-2.50,"9,897"
 90/02/19,94.00,97.00,94.00,96.0,-2.00,"5,157"
 90/02/20,96.50,98.00,96.00,96.0, 0.00,"4,525"
 90/02/21,94.00,98.00,94.00,97.5,+1.50,"5,885"
 90/02/22,96.50,96.50,93.00,93.5,-4.00,"8,190"
 90/02/23,91.00,93.00,90.00,91.0,-2.50,"8,745"
 90/02/26,90.00,91.00,89.00,89.0,-2.00,"8,023"
 90/02/27,90.00,91.00,90.00,90.0,+1.00,"5,845"
 90/03/01,87.00,87.00,84.00,84.0,-6.00,"18,059"
 90/03/02,84.50,85.00,83.00,83.5,-0.50,"9,468"
 90/03/05,83.50,85.00,83.50,84.5,+1.00,"6,930"
 90/03/06,88.00,90.00,86.50,88.5,+4.00,"11,304"
 90/03/07,91.50,93.00,91.50,92.0,+3.50,"11,458"
 90/03/08,92.00,92.00,90.00,90.5,-1.50,"5,559"
 90/03/09,87.50,88.00,87.50,88.0,-2.50,"6,220"
 90/03/12,85.00,86.00,85.00,85.5,-2.50,"6,649"
 90/03/13,84.00,87.00,84.00,87.0,+1.50,"9,860"
 90/03/14,88.00,89.50,86.50,86.5,-0.50,"6,456"
 90/03/15,86.50,88.50,85.50,88.0,+1.50,"6,130"
 90/03/16,87.50,89.00,87.50,88.5,+0.50,"6,250"
 90/03/19,88.00,88.50,86.50,87.0,-1.50,"3,447"
 90/03/20,87.00,88.00,85.50,86.0,-1.00,"5,254"
 90/03/21,85.00,85.50,84.50,85.0,-1.00,"5,565"
 90/03/22,85.00,87.00,85.00,86.5,+1.50,"5,019"
 90/03/23,87.50,90.50,87.50,90.5,+4.00,"16,010"
 90/03/26,91.00,91.00,89.50,90.0,-0.50,"7,300"
 90/03/27,90.50,91.50,89.50,89.5,-0.50,"8,478"
 90/03/28,89.50,90.00,88.50,89.0,-0.50,"4,831"
 90/03/29,89.00,89.00,88.00,88.0,-1.00,"4,608"
 90/03/30,89.00,89.00,87.00,88.5,+0.50,"4,786"
 90/04/02,88.00,88.00,85.00,85.0,-3.50,"6,208"
 90/04/03,83.00,83.00,81.00,81.5,-3.50,"16,045"
 90/04/04,79.00,80.50,79.00,79.5,-2.00,"13,274"
 90/04/06,85.00,85.00,82.00,82.5,+3.00,"9,220"
 90/04/09,81.00,81.00,79.00,80.0,-2.50,"6,666"
 90/04/10,80.00,80.50,78.50,79.0,-1.00,"7,984"
 90/04/11,81.00,83.00,80.00,83.0,+4.00,"6,688"
 90/04/12,85.00,87.00,84.50,86.0,+3.00,"16,812"
 90/04/13,87.50,87.50,85.00,85.0,-1.00,"5,682"
 90/04/16,84.50,85.00,82.50,84.0,-1.00,"3,286"
 90/04/17,83.00,84.00,82.50,83.5,-0.50,"3,692"
 90/04/18,85.00,85.00,84.00,85.0,+1.50,"5,646"
 90/04/19,90.50,90.50,90.00,90.5,+5.50,"25,512"
 90/04/20,91.00,91.50,89.50,90.5, 0.00,"12,064"
 90/04/23,90.50,90.50,89.00,90.0,-0.50,"4,148"
 90/04/24,88.50,89.00,88.00,88.0,-2.00,"5,145"
 90/04/25,88.00,89.00,86.00,86.5,-1.50,"4,140"
 90/04/26,87.50,90.00,86.50,89.0,+2.50,"4,728"
 90/04/27,89.00,89.00,87.00,87.0,-2.00,"3,780"
 90/04/30,89.00,91.50,88.50,91.0,+4.00,"15,553"
 90/05/02,97.00,97.00,95.00,96.0,+5.00,"28,976"
 90/05/03,95.50,96.50,95.00,96.5,+0.50,"10,485"
 90/05/04,96.00,96.00,93.00,93.0,-3.50,"6,092"
 90/05/07,93.50,97.00,93.00,95.0,+2.00,"8,162"
 90/05/08,94.50,95.50,93.50,94.5,-0.50,"4,944"
 90/05/09,95.00,96.00,94.50,95.0,+0.50,"4,309"
 90/05/10,94.00,94.00,92.00,92.5,-2.50,"4,424"
 90/05/11,92.50,94.00,92.00,94.0,+1.50,"4,496"
 90/05/14,92.00,93.00,92.00,92.5,-1.50,"2,560"
 90/05/15,90.00,90.50,89.00,89.5,-3.00,"5,890"
 90/05/16,88.00,88.50,87.50,88.0,-1.50,"4,473"
 90/05/17,88.50,90.00,87.50,89.0,+1.00,"3,925"
 90/05/18,90.00,91.50,89.00,90.5,+1.50,"5,313"
 90/05/21,90.00,90.00,87.50,88.5,-2.00,"3,884"
 90/05/22,89.50,91.00,89.50,90.0,+1.50,"4,204"
 90/05/23,90.50,94.50,90.50,94.5,+4.50,"7,497"
 90/05/24,94.00,94.50,93.00,94.0,-0.50,"4,615"
 90/05/25,94.00,95.00,93.50,94.5,+0.50,"4,322"
 90/05/28,93.50,94.00,93.00,93.0,-1.50,"1,946"
 90/05/29,93.00,94.00,93.00,93.0, 0.00,"2,715"
 90/05/30,92.50,93.00,90.00,90.0,-3.00,"3,144"
 90/05/31,89.00,90.00,89.00,89.5,-0.50,"3,837"
 90/06/01,90.50,91.00,88.50,89.0,-0.50,"3,359"
 90/06/04,89.00,91.00,88.50,90.0,+1.00,"2,913"
 90/06/05,90.00,91.00,89.50,91.0,+1.00,"2,291"
 90/06/06,92.50,94.00,92.50,93.5,+2.50,"5,879"
 90/06/07,92.50,93.50,92.00,93.0,-0.50,"2,902"
 90/06/08,96.00,97.50,96.00,97.0,+4.00,"12,838"
 90/06/11,97.00,99.00,96.50,99.0,+2.00,"6,056"
 90/06/12,98.00,98.50,96.50,97.0,-2.00,"4,214"
 90/06/13,96.50,97.00,94.00,94.0,-3.00,"4,876"
 90/06/14,94.00,94.00,91.00,92.5,-1.50,"4,048"
 90/06/15,92.00,93.50,91.50,93.5,+1.00,"2,675"
 90/06/18,93.00,93.50,90.50,92.0,-1.50,"4,200"
 90/06/19,91.50,92.00,90.00,90.5,-1.50,"6,181"
 90/06/20,90.00,90.50,89.50,90.0,-0.50,"3,591"
 90/06/21,89.00,89.00,86.00,86.0,-4.00,"7,863"
 90/06/22,86.00,87.00,84.00,85.0,-1.00,"10,847"
 90/06/26,61.50,63.00,61.00,61.0,X0.00,"18,606"
 90/06/27,62.50,64.00,62.00,63.5,+2.50,"11,018"
 90/06/28,63.50,63.50,61.00,61.5,-2.00,"8,861"
 90/06/29,63.00,64.00,62.50,64.0,+2.50,"7,450"
 90/07/02,64.50,67.00,64.50,67.0,+3.00,"8,692"
 90/07/03,67.00,68.00,66.00,66.5,-0.50,"6,194"
 90/07/04,66.00,66.00,65.00,65.5,-1.00,"4,332"
 90/07/05,65.00,66.00,65.00,65.5, 0.00,"2,893"
 90/07/06,64.00,64.50,63.00,63.0,-2.50,"6,450"
 90/07/09,62.00,62.00,61.00,61.0,-2.00,"9,947"
 90/07/10,61.50,62.50,61.50,61.5,+0.50,"5,858"
 90/07/11,62.00,62.50,61.50,61.5, 0.00,"4,271"
 90/07/12,62.50,63.50,62.00,63.5,+2.00,"4,920"
 90/07/13,65.00,65.50,63.00,63.0,-0.50,"6,948"
 90/07/16,64.00,64.00,62.00,63.0, 0.00,"5,869"
 90/07/17,62.00,63.00,61.50,62.5,-0.50,"4,717"
 90/07/18,62.50,62.50,61.00,62.0,-0.50,"5,127"
 90/07/19,61.00,62.00,59.50,61.0,-1.00,"6,693"
 90/07/20,62.00,62.00,60.50,60.5,-0.50,"5,815"
 90/07/23,60.00,60.50,57.50,58.0,-2.50,"7,174"
 90/07/24,57.00,57.50,56.00,57.5,-0.50,"6,579"
 90/07/25,58.00,59.50,57.50,59.0,+1.50,"6,665"
 90/07/26,60.00,61.00,59.00,60.5,+1.50,"6,598"
 90/07/27,63.50,64.50,63.00,63.5,+3.00,"17,542"
 90/07/31,64.50,66.00,64.00,66.0,+2.50,"14,004"
 90/08/01,68.50,68.50,67.00,68.5,+2.50,"19,584"
 90/08/02,70.00,71.00,70.00,70.5,+2.00,"15,021"
 90/08/03,70.50,70.50,69.00,69.0,-1.50,"10,357"
 90/08/06,68.00,68.50,67.50,68.0,-1.00,"5,796"
 90/08/07,66.50,67.00,65.50,66.0,-2.00,"6,754"
 90/08/08,66.00,67.50,66.00,67.5,+1.50,"4,755"
 90/08/09,65.00,66.00,65.00,65.0,-2.50,"4,923"
 90/08/10,66.50,68.50,65.50,68.5,+3.50,"7,198"
 90/08/13,68.00,68.00,67.00,68.0,-0.50,"4,018"
 90/08/14,68.00,69.00,68.00,69.0,+1.00,"4,983"
 90/08/15,69.00,69.50,68.50,68.5,-0.50,"5,625"
 90/08/16,68.00,68.50,67.50,68.0,-0.50,"4,431"
 90/08/17,68.00,68.50,67.00,67.5,-0.50,"3,288"
 90/08/20,65.50,66.00,65.00,66.0,-1.50,"7,036"
 90/08/21,65.00,66.50,65.00,66.5,+0.50,"4,494"
 90/08/22,64.00,64.50,62.00,62.0,-4.50,"21,337"
 90/08/23,60.00,62.50,60.00,62.0, 0.00,"16,385"
 90/08/24,61.00,61.00,60.00,60.5,-1.50,"9,992"
 90/08/27,60.50,64.50,60.50,63.5,+3.00,"14,583"
 90/08/28,64.00,64.00,62.00,63.0,-0.50,"6,464"
