日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 88/01/05,71.00,71.00,68.00,68.0,-3.00,"6,601"
 88/01/06,68.00,71.00,68.00,70.5,2.50,"6,665"
 88/01/07,74.00,75.00,71.50,75.0,4.50,"13,572"
 88/01/08,76.50,78.50,75.50,76.0,1.00,"19,616"
 88/01/11,80.00,81.00,79.00,80.0,4.00,"26,960"
 88/01/12,81.00,81.00,79.00,80.0,0.00,"12,910"
 88/01/13,78.00,83.00,78.00,82.5,2.50,"26,964"
 88/01/14,82.50,83.00,80.00,82.0,-0.50,"17,930"
 88/01/15,82.00,87.00,81.50,87.0,5.00,"28,241"
 88/01/16,90.00,91.00,87.00,87.0,0.00,"31,980"
 88/01/18,87.00,89.00,86.00,88.0,1.00,"14,985"
 88/01/19,87.00,88.00,85.00,85.5,-2.50,"16,192"
 88/01/20,85.50,86.50,84.00,85.5,0.00,"13,568"
 88/01/21,86.00,88.00,86.00,86.0,0.50,"10,605"
 88/01/22,85.00,85.50,82.50,83.0,-3.00,"14,235"
 88/01/25,82.00,82.50,80.00,80.5,-2.50,"10,855"
 88/01/26,82.00,84.00,80.50,84.0,3.50,"9,775"
 88/01/27,85.50,86.50,84.50,84.5,0.50,"14,801"
 88/01/28,84.50,85.00,84.00,85.0,0.50,"7,300"
 88/01/29,86.00,86.00,84.50,84.5,-0.50,"9,964"
 88/01/30,84.50,86.00,84.00,84.0,-0.50,"7,882"
 88/02/01,82.50,83.50,81.00,81.0,-3.00,"7,137"
 88/02/02,81.00,82.00,78.50,79.5,-1.50,"8,377"
 88/02/03,78.00,83.00,77.50,82.0,+2.50,"10,328"
 88/02/04,83.00,83.00,79.00,80.0,-2.00,"7,664"
 88/02/05,79.00,83.00,79.00,81.0,+1.00,"7,160"
 88/02/06,81.00,82.50,80.00,82.0,+1.00,"7,431"
 88/02/08,82.00,82.50,80.50,81.0,-1.00,"9,211"
 88/02/09,81.00,81.50,79.50,80.0,-1.00,"6,824"
 88/02/10,78.50,79.50,78.00,79.0,-1.00,"8,076"
 88/02/20,84.00,84.00,81.00,84.0,+5.00,"9,134"
