日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 86/01/04,56.00,56.00,55.50,55.5,-1.00,"1,571"
 86/01/06,55.50,56.00,55.50,55.5,0.00,"1,287"
 86/01/07,56.00,56.50,55.50,56.5,1.00,"1,399"
 86/01/08,56.50,57.00,56.00,56.5,0.00,"1,802"
 86/01/09,57.00,57.00,56.50,56.5,0.00,"1,614"
 86/01/10,56.50,57.00,56.50,56.5,0.00,"2,529"
 86/01/11,57.00,57.00,56.50,56.5,0.00,"1,863"
 86/01/13,57.00,59.00,56.50,58.0,1.50,"5,650"
 86/01/14,58.50,59.00,57.00,57.0,-1.00,"2,892"
 86/01/15,57.00,57.50,57.00,57.0,0.00,"1,218"
 86/01/16,57.50,57.50,57.00,57.5,0.50,"1,219"
 86/01/17,57.50,57.50,57.00,57.0,-0.50,"1,497"
 86/01/18,57.00,57.00,56.50,56.5,-0.50,"1,315"
 86/01/20,56.50,57.00,56.00,56.5,0.00,"3,136"
 86/01/21,56.50,57.50,56.50,56.5,0.00,"3,123"
 86/01/22,56.50,57.00,56.50,56.5,0.00,"2,270"
 86/01/23,57.00,57.50,56.50,56.5,0.00,"3,075"
 86/01/24,57.00,57.50,56.50,57.0,0.50,"2,277"
 86/01/25,57.50,57.50,56.50,56.5,-0.50,"1,219"
 86/01/27,56.50,57.00,56.50,56.5,0.00,"1,184"
 86/01/28,56.50,57.00,56.00,56.0,-0.50,"1,722"
 86/01/29,56.00,56.50,56.00,56.0,0.00,"1,631"
 86/01/30,56.50,57.50,56.50,56.5,0.50,"4,049"
 86/01/31,57.00,57.50,56.50,56.5,0.00,"2,831"
 86/02/01,57.50,58.50,57.00,57.5,1.00,"5,963"
 86/02/03,58.00,58.50,57.50,57.5,0.00,"2,427"
 86/02/11,58.00,58.50,57.50,58.0,0.50,"2,955"
 86/02/12,59.00,62.00,59.00,62.0,4.00,"12,539"
 86/02/13,63.00,64.00,62.00,63.5,1.50,"14,762"
 86/02/14,63.00,63.00,60.50,61.0,-2.50,"10,807"
 86/02/15,61.00,61.50,61.00,61.0,0.00,"5,271"
 86/02/17,61.00,61.50,61.00,61.0,0.00,"4,631"
 86/02/18,60.50,60.50,59.00,60.5,-0.50,"6,688"
 86/02/19,61.00,61.50,60.50,60.5,0.00,"5,398"
 86/02/20,59.00,61.00,59.00,60.0,-0.50,"7,492"
 86/02/21,60.50,63.00,60.50,63.0,3.00,"9,054"
 86/02/22,64.00,64.00,61.00,61.0,-2.00,"8,123"
 86/02/24,61.00,62.00,61.00,61.0,0.00,"3,374"
 86/02/25,61.50,62.00,61.00,62.0,1.00,"3,834"
 86/02/26,62.50,63.00,60.00,60.5,-1.50,"5,038"
 86/02/27,60.50,62.00,60.50,62.0,1.50,"3,043"
 86/02/28,62.50,64.00,62.00,62.5,0.50,"9,084"
 86/03/01,63.00,63.50,62.00,62.0,-0.50,"2,864"
 86/03/03,62.00,64.00,62.00,63.5,1.50,"6,660"
 86/03/04,64.00,67.50,64.00,67.5,4.00,"16,635"
