日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
103/01/02,105.00,105.50,103.50,104.5,-1.00,"4,136"
103/01/03,103.00,103.00,102.00,102.5,-2.00,"8,524"
103/01/06,102.00,103.00,102.00,102.5, 0.00,"4,874"
103/01/07,102.50,103.00,102.00,102.0,-0.50,"5,529"
103/01/08,103.00,104.50,102.50,104.0,+2.00,"7,305"
103/01/09,102.50,103.00,100.50,101.0,-3.00,"19,873"
103/01/10,102.00,102.50,101.50,102.0,+1.00,"7,619"
103/01/13,103.00,103.50,102.50,103.0,+1.00,"6,282"
103/01/14,102.50,103.50,102.00,103.5,+0.50,"5,256"
103/01/15,104.00,106.00,104.00,105.0,+1.50,"15,415"
103/01/16,106.00,107.50,106.00,107.0,+2.00,"16,279"
103/01/17,108.00,108.50,107.00,107.5,+0.50,"15,038"
103/01/20,107.00,108.50,107.00,107.5, 0.00,"8,533"
103/01/21,108.50,108.50,106.00,106.5,-1.00,"6,334"
103/01/22,106.00,107.50,106.00,107.5,+1.00,"7,549"
103/01/23,108.50,108.50,107.50,107.5, 0.00,"7,461"
103/01/24,107.00,108.50,107.00,108.0,+0.50,"8,172"
103/01/27,106.00,106.50,104.00,105.0,-3.00,"17,118"
103/02/05,102.00,102.00,100.50,100.5,-4.50,"37,866"
103/02/06,101.00,103.00,101.00,102.0,+1.50,"16,321"
103/02/07,103.50,104.50,103.00,104.0,+2.00,"14,854"
103/02/10,104.00,104.50,103.00,103.0,-1.00,"7,897"
103/02/11,104.50,105.00,104.00,104.5,+1.50,"6,947"
103/02/12,105.00,105.50,104.50,105.0,+0.50,"7,138"
103/02/13,105.00,106.00,105.00,105.0, 0.00,"5,781"
103/02/14,106.50,107.50,106.50,107.5,+2.50,"14,580"
103/02/17,108.00,108.50,107.50,108.5,+1.00,"11,664"
103/02/18,108.50,108.50,107.50,108.0,-0.50,"5,778"
103/02/19,108.00,108.00,107.00,108.0, 0.00,"7,006"
103/02/20,106.50,107.00,106.00,106.5,-1.50,"6,646"
103/02/21,107.00,107.50,107.00,107.5,+1.00,"7,819"
103/02/24,107.50,108.00,106.00,107.0,-0.50,"6,992"
103/02/25,107.50,108.00,106.50,108.0,+1.00,"6,570"
103/02/26,107.50,108.00,107.00,107.5,-0.50,"5,182"
103/02/27,107.50,108.00,107.50,108.0,+0.50,"7,531"
103/03/03,108.00,108.00,106.50,108.0, 0.00,"10,046"
103/03/04,108.00,108.00,107.50,107.5,-0.50,"9,493"
103/03/05,108.50,110.00,108.50,110.0,+2.50,"16,511"
103/03/06,110.00,113.50,110.00,113.0,+3.00,"18,144"
103/03/07,114.00,115.00,113.50,114.5,+1.50,"17,219"
103/03/10,114.50,114.50,112.50,113.0,-1.50,"9,237"
103/03/11,113.50,114.50,113.50,114.0,+1.00,"9,133"
103/03/12,112.50,113.00,112.00,113.0,-1.00,"5,218"
103/03/13,116.50,117.50,115.50,116.5,+3.50,"16,969"
103/03/14,115.00,115.50,114.00,115.0,-1.50,"12,132"
103/03/17,114.50,115.00,113.00,114.0,-1.00,"8,995"
103/03/18,114.50,115.00,113.50,114.5,+0.50,"7,396"
103/03/19,114.50,115.00,113.50,114.5, 0.00,"6,589"
103/03/20,113.00,113.50,112.00,112.0,-2.50,"13,078"
103/03/21,114.00,114.00,112.00,112.5,+0.50,"7,294"
103/03/24,111.50,112.50,111.50,112.5, 0.00,"7,098"
103/03/25,111.50,113.50,111.50,113.5,+1.00,"6,933"
103/03/26,115.50,116.00,114.50,115.5,+2.00,"12,860"
103/03/27,114.50,116.00,114.00,116.0,+0.50,"8,641"
103/03/28,116.00,117.50,115.50,117.5,+1.50,"12,521"
103/03/31,118.00,118.50,116.50,118.5,+1.00,"8,839"
103/04/01,119.00,119.50,118.50,119.5,+1.00,"12,571"
103/04/02,120.50,121.00,119.00,120.0,+0.50,"9,400"
103/04/03,118.50,119.00,117.50,118.5,-1.50,"10,198"
103/04/07,117.50,118.00,116.50,117.5,-1.00,"11,316"
103/04/08,117.00,119.50,117.00,119.0,+1.50,"9,396"
103/04/09,119.50,120.00,119.00,119.0, 0.00,"8,284"
103/04/10,119.00,119.50,118.50,119.5,+0.50,"7,229"
103/04/11,118.50,120.00,118.00,120.0,+0.50,"7,639"
103/04/14,120.00,121.00,120.00,120.5,+0.50,"8,739"
103/04/15,121.50,122.50,121.00,122.5,+2.00,"9,839"
103/04/16,121.50,122.50,121.00,121.0,-1.50,"10,989"
103/04/17,120.50,121.50,119.00,120.0,-1.00,"9,152"
103/04/18,122.50,123.00,121.00,123.0,+3.00,"9,515"
103/04/21,122.00,122.00,121.00,121.5,-1.50,"5,868"
103/04/22,121.00,122.50,120.50,121.5, 0.00,"5,886"
103/04/23,123.00,123.00,120.50,121.0,-0.50,"8,145"
103/04/24,121.00,121.00,120.00,121.0, 0.00,"6,289"
103/04/25,121.00,121.00,118.00,118.5,-2.50,"11,457"
103/04/28,118.50,120.00,117.50,119.0,+0.50,"7,030"
103/04/29,120.50,121.00,119.00,120.5,+1.50,"4,991"
103/04/30,120.00,120.50,117.00,118.5,-2.00,"9,169"
103/05/02,119.00,119.50,117.00,118.0,-0.50,"9,573"
103/05/05,117.50,118.00,116.00,117.0,-1.00,"8,961"
103/05/06,117.00,119.00,116.50,118.0,+1.00,"5,217"
103/05/07,118.00,119.00,117.50,118.5,+0.50,"6,945"
103/05/08,119.50,120.00,119.00,119.5,+1.00,"5,599"
103/05/09,120.00,120.00,119.00,120.0,+0.50,"6,405"
103/05/12,119.50,120.00,117.50,118.5,-1.50,"6,664"
103/05/13,120.00,121.00,119.50,120.5,+2.00,"7,767"
103/05/14,121.00,122.00,120.50,122.0,+1.50,"9,719"
103/05/15,121.00,122.00,120.50,122.0, 0.00,"5,040"
103/05/16,122.00,123.00,121.00,122.0, 0.00,"7,047"
103/05/19,122.00,122.50,121.00,121.0,-1.00,"5,325"
103/05/20,122.00,122.00,121.00,121.0, 0.00,"7,109"
103/05/21,122.00,122.00,120.50,120.5,-0.50,"6,337"
103/05/22,121.50,122.00,121.00,122.0,+1.50,"5,227"
103/05/23,121.00,122.50,121.00,122.0, 0.00,"6,260"
103/05/26,123.00,123.50,122.00,123.0,+1.00,"7,319"
103/05/27,122.50,124.00,122.50,123.5,+0.50,"6,092"
103/05/28,124.00,124.00,122.50,124.0,+0.50,"8,443"
103/05/29,123.50,124.00,121.50,122.0,-2.00,"9,131"
103/05/30,122.00,122.50,119.50,119.5,-2.50,"10,342"
103/06/03,120.00,122.50,120.00,122.5,+3.00,"10,640"
103/06/04,123.50,124.00,123.00,123.5,+1.00,"8,162"
103/06/05,123.00,123.50,121.50,123.0,-0.50,"4,842"
103/06/06,123.50,123.50,122.00,122.5,-0.50,"4,910"
103/06/09,122.50,123.50,122.50,123.0,+0.50,"5,157"
103/06/10,123.00,124.50,122.50,124.5,+1.50,"6,557"
103/06/11,124.00,125.00,123.50,125.0,+0.50,"6,589"
103/06/12,124.00,124.00,123.00,123.5,-1.50,"5,812"
103/06/13,123.00,123.50,122.50,123.0,-0.50,"4,424"
103/06/16,122.50,124.00,122.50,124.0,+1.00,"5,010"
103/06/17,124.00,125.00,123.00,125.0,+1.00,"6,971"
103/06/18,125.00,126.50,124.00,125.5,+0.50,"8,642"
103/06/19,124.50,126.00,124.50,126.0,+0.50,"5,043"
103/06/20,126.50,127.00,124.00,124.5,-1.50,"5,267"
103/06/23,125.00,125.50,123.00,123.0,-1.50,"6,320"
103/06/24,123.00,123.50,122.00,123.0, 0.00,"8,507"
103/06/25,123.00,124.50,123.00,123.5,+0.50,"7,395"
103/06/26,124.50,125.00,123.50,124.5,+1.00,"5,578"
103/06/27,125.00,126.50,124.00,125.5,+1.00,"9,021"
103/06/30,126.00,127.00,125.00,126.5,+1.00,"7,469"
103/07/01,126.50,128.50,126.00,128.0,+1.50,"7,806"
103/07/02,129.50,132.50,129.00,132.5,+4.50,"13,133"
103/07/03,131.50,135.00,130.50,134.5,+2.00,"12,822"
103/07/04,133.50,136.00,132.00,135.0,+0.50,"13,513"
103/07/07,134.50,136.00,132.50,136.0,+1.00,"10,456"
103/07/08,135.50,136.00,134.00,134.5,-1.50,"7,852"
103/07/09,133.50,135.00,133.50,134.0,-0.50,"10,775"
103/07/10,134.50,136.00,134.50,134.5,+0.50,"9,008"
103/07/11,136.00,138.00,135.50,136.5,+2.00,"11,824"
103/07/14,134.50,134.50,132.50,132.5,X0.00,"14,589"
103/07/15,133.00,134.00,132.50,133.0,+0.50,"8,483"
103/07/16,133.00,133.50,130.00,130.5,-2.50,"10,001"
103/07/17,125.00,125.50,123.00,124.5,-6.00,"34,866"
103/07/18,121.50,124.00,121.50,123.5,-1.00,"21,786"
103/07/21,124.00,124.50,122.50,123.5, 0.00,"15,070"
103/07/22,123.50,125.00,122.50,124.5,+1.00,"12,061"
103/07/24,124.50,125.00,124.00,125.0,+0.50,"12,534"
103/07/25,124.50,125.00,122.50,123.0,-2.00,"11,359"
103/07/28,122.00,122.50,121.00,121.5,-1.50,"13,121"
103/07/29,122.50,124.00,122.00,124.0,+2.50,"11,381"
103/07/30,123.50,125.00,123.00,124.5,+0.50,"7,029"
103/07/31,124.00,124.00,121.00,121.0,-3.50,"13,163"
103/08/01,120.00,121.00,119.50,120.0,-1.00,"13,006"
103/08/04,120.00,123.50,120.00,123.5,+3.50,"8,471"
103/08/05,122.50,122.50,119.50,119.5,-4.00,"15,190"
103/08/06,119.00,121.50,119.00,120.5,+1.00,"9,762"
103/08/07,120.50,121.50,119.50,121.5,+1.00,"8,143"
103/08/08,120.50,121.00,119.50,120.5,-1.00,"7,307"
103/08/11,120.00,121.00,119.50,120.5, 0.00,"10,623"
103/08/12,121.00,122.00,120.50,121.5,+1.00,"7,524"
103/08/13,121.00,123.50,120.50,122.5,+1.00,"8,735"
103/08/14,123.50,124.00,123.00,124.0,+1.50,"9,499"
103/08/15,124.50,125.00,123.00,124.0, 0.00,"4,823"
103/08/18,124.00,124.00,122.50,123.0,-1.00,"3,958"
103/08/19,124.00,125.00,123.50,124.0,+1.00,"8,062"
103/08/20,125.00,125.50,124.50,125.5,+1.50,"9,137"
103/08/21,126.00,126.00,124.00,124.5,-1.00,"7,165"
103/08/22,124.50,126.00,123.50,125.5,+1.00,"10,719"
103/08/25,125.50,126.00,125.00,125.0,-0.50,"5,152"
103/08/26,125.00,125.50,124.00,124.5,-0.50,"6,140"
103/08/27,125.50,126.00,124.50,125.5,+1.00,"8,829"
103/08/28,126.00,126.00,124.50,125.0,-0.50,"5,251"
103/08/29,124.50,125.00,124.00,124.0,-1.00,"4,468"
103/09/01,125.00,128.50,125.00,128.5,+4.50,"13,072"
103/09/02,128.00,128.00,125.50,126.0,-2.50,"6,797"
103/09/03,127.00,128.00,125.50,128.0,+2.00,"7,148"
103/09/04,128.00,128.00,126.00,127.5,-0.50,"6,492"
103/09/05,128.50,128.50,125.50,127.0,-0.50,"6,377"
103/09/09,127.50,127.50,126.50,127.0, 0.00,"5,122"
103/09/10,126.00,126.00,124.00,125.0,-2.00,"9,929"
103/09/11,126.00,126.00,125.00,125.0, 0.00,"9,292"
103/09/12,124.50,125.00,123.00,123.0,-2.00,"7,012"
103/09/15,122.50,123.50,122.00,123.5,+0.50,"5,926"
103/09/16,123.00,123.00,122.00,122.5,-1.00,"4,550"
103/09/17,123.50,125.00,123.00,124.5,+2.00,"6,056"
103/09/18,124.50,125.00,123.50,125.0,+0.50,"3,768"
103/09/19,125.50,126.00,125.00,125.0, 0.00,"6,541"
103/09/22,124.00,124.00,122.00,122.0,-3.00,"12,386"
103/09/23,123.00,123.50,122.00,122.5,+0.50,"4,520"
103/09/24,122.00,124.00,122.00,123.0,+0.50,"8,362"
103/09/25,123.00,124.00,121.50,122.0,-1.00,"7,472"
103/09/26,121.00,121.50,120.50,121.0,-1.00,"7,565"
103/09/29,122.00,122.00,120.00,120.5,-0.50,"8,787"
103/09/30,120.00,121.00,119.00,120.0,-0.50,"10,098"
103/10/01,120.00,122.00,120.00,121.5,+1.50,"10,354"
103/10/02,121.00,122.50,120.50,121.0,-0.50,"7,962"
103/10/03,122.50,125.00,122.00,124.5,+3.50,"13,294"
