日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/06/02,144.50,144.50,143.50,144.0,-1.00,"10,752"
104/06/03,143.50,144.50,143.00,143.0,-1.00,"7,788"
104/06/04,142.00,142.50,140.00,141.0,-2.00,"17,920"
104/06/05,139.50,140.50,139.00,140.0,-1.00,"13,335"
104/06/08,139.50,140.00,138.50,138.5,-1.50,"17,131"
104/06/09,138.50,140.00,138.00,139.0,+0.50,"10,951"
104/06/10,141.00,141.50,139.50,139.5,+0.50,"11,225"
104/06/11,141.00,144.00,141.00,143.5,+4.00,"15,700"
104/06/12,144.00,144.50,142.50,144.5,+1.00,"9,645"
104/06/15,144.50,144.50,142.50,143.0,-1.50,"7,385"
104/06/16,143.00,143.00,141.00,142.0,-1.00,"11,387"
104/06/17,143.00,143.50,142.00,142.5,+0.50,"8,595"
104/06/18,142.00,143.00,142.00,142.0,-0.50,"5,820"
104/06/22,142.00,143.50,142.00,142.0, 0.00,"8,985"
104/06/23,143.00,145.00,142.50,144.5,+2.50,"11,319"
104/06/24,144.50,145.00,143.50,145.0,+0.50,"7,362"
104/06/25,145.00,147.00,145.00,146.5,+1.50,"11,443"
104/06/26,147.00,147.50,145.50,146.0,-0.50,"10,199"
104/06/29,140.50,141.00,138.50,138.5,X0.00,"20,523"
104/06/30,139.00,140.50,138.50,140.5,+2.00,"15,871"
104/07/01,140.00,142.50,139.00,141.0,+0.50,"9,303"
104/07/02,140.50,142.00,140.50,141.5,+0.50,"6,836"
104/07/03,141.50,142.50,140.00,142.5,+1.00,"6,179"
104/07/06,141.00,141.50,140.50,140.5,-2.00,"7,067"
104/07/07,141.00,142.00,140.50,140.5, 0.00,"8,780"
104/07/08,140.50,141.00,138.00,138.0,-2.50,"15,496"
104/07/09,134.00,138.00,134.00,136.5,-1.50,"12,715"
104/07/13,137.00,139.50,137.00,138.5,+2.00,"11,386"
104/07/14,139.50,140.50,138.00,138.5, 0.00,"7,319"
104/07/15,139.00,139.50,138.00,138.5, 0.00,"8,278"
104/07/16,140.00,140.00,135.50,136.5,-2.00,"11,167"
104/07/17,138.00,140.00,138.00,140.0,+3.50,"14,284"
104/07/20,141.50,142.00,138.50,139.0,-1.00,"11,095"
104/07/21,141.00,141.50,139.50,140.5,+1.50,"5,806"
104/07/22,139.00,139.50,138.00,139.0,-1.50,"9,026"
104/07/23,137.00,137.50,136.00,136.0,-3.00,"11,509"
104/07/24,138.00,138.00,136.00,137.0,+1.00,"10,517"
104/07/27,135.00,135.50,134.00,134.0,-3.00,"13,816"
104/07/28,135.00,136.50,134.00,134.0, 0.00,"9,966"
104/07/29,135.00,136.00,134.50,135.5,+1.50,"7,453"
104/07/30,136.00,139.00,136.00,138.5,+3.00,"10,767"
104/07/31,140.50,140.50,137.50,139.5,+1.00,"9,383"
104/08/03,138.50,138.50,134.50,134.5,-5.00,"12,990"
104/08/04,135.00,136.50,134.50,136.5,+2.00,"8,099"
104/08/05,135.50,135.50,134.00,134.0,-2.50,"9,154"
104/08/06,136.00,136.00,132.00,134.0, 0.00,"13,110"
104/08/07,133.00,133.50,131.50,133.0,-1.00,"11,911"
104/08/10,131.00,131.00,125.50,129.0,-4.00,"23,713"
104/08/11,133.50,133.50,130.50,130.5,+1.50,"18,947"
104/08/12,129.50,130.00,127.50,128.5,-2.00,"12,740"
104/08/13,129.00,130.00,127.50,128.0,-0.50,"11,405"
104/08/14,128.00,128.50,125.00,126.0,-2.00,"13,469"
104/08/17,125.50,125.50,123.00,124.0,-2.00,"14,068"
104/08/18,125.00,126.50,125.00,126.0,+2.00,"11,837"
104/08/19,127.50,127.50,124.00,125.0,-1.00,"11,362"
104/08/20,124.50,126.00,123.50,126.0,+1.00,"8,015"
104/08/21,123.00,124.50,121.00,121.0,-5.00,"15,912"
104/08/24,120.00,121.00,112.50,115.0,-6.00,"25,681"
104/08/25,118.00,124.00,117.50,123.5,+8.50,"27,240"
104/08/26,121.00,124.50,119.50,122.5,-1.00,"17,863"
104/08/27,125.00,125.00,122.00,124.0,+1.50,"14,964"
104/08/28,127.00,127.00,124.50,125.0,+1.00,"12,018"
104/08/31,126.00,129.00,123.50,129.0,+4.00,"12,112"
104/09/01,127.50,127.50,124.00,124.0,-5.00,"14,184"
104/09/02,123.00,127.00,123.00,125.5,+1.50,"12,205"
104/09/03,127.50,127.50,125.00,127.0,+1.50,"7,059"
104/09/04,126.50,127.00,123.50,125.0,-2.00,"8,111"
104/09/07,124.50,126.00,122.00,122.5,-2.50,"10,743"
104/09/08,122.50,123.50,122.00,123.0,+0.50,"5,645"
104/09/09,126.50,129.00,126.50,129.0,+6.00,"19,715"
104/09/10,127.00,128.00,125.00,125.0,-4.00,"10,207"
104/09/11,125.50,127.50,124.00,127.5,+2.50,"7,250"
104/09/14,128.00,129.00,126.00,127.5, 0.00,"8,062"
104/09/15,127.50,128.00,125.50,126.0,-1.50,"7,271"
104/09/16,128.00,130.00,127.50,129.5,+3.50,"14,052"
104/09/17,130.50,131.50,130.00,131.0,+1.50,"16,702"
104/09/18,129.50,131.50,129.00,131.5,+0.50,"7,572"
104/09/21,130.00,130.00,128.50,129.5,-2.00,"7,636"
104/09/22,130.00,130.00,128.50,129.0,-0.50,"6,249"
104/09/23,127.00,127.50,124.50,124.5,-4.50,"15,209"
104/09/24,127.00,128.00,125.50,127.0,+2.50,"12,056"
104/09/25,127.00,127.50,125.00,127.0, 0.00,"9,166"
104/09/30,128.00,131.00,127.00,130.0,+3.00,"17,686"
104/10/01,131.00,134.00,129.50,133.5,+3.50,"15,465"
104/10/02,132.50,132.50,131.50,132.0,-1.50,"7,698"
104/10/05,133.00,133.50,131.50,132.5,+0.50,"9,279"
104/10/06,135.00,135.50,132.50,133.0,+0.50,"13,880"
