日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/01/02,97.60,99.90,97.10,99.6,+2.60,"14,353"
102/01/03,100.50,102.00,100.00,101.0,+1.40,"12,616"
102/01/04,100.50,101.50,100.00,101.5,+0.50,"10,276"
102/01/07,101.00,101.00,99.10,100.5,-1.00,"9,042"
102/01/08,99.60,100.00,98.90,99.7,-0.80,"9,463"
102/01/09,100.50,100.50,99.20,100.0,+0.30,"7,616"
102/01/10,99.90,101.00,99.50,101.0,+1.00,"8,304"
102/01/11,101.50,101.50,100.50,101.0, 0.00,"7,982"
102/01/14,101.00,102.00,100.00,102.0,+1.00,"6,414"
102/01/15,102.00,102.00,99.80,100.5,-1.50,"10,021"
102/01/16,100.50,100.50,99.20,99.2,-1.30,"8,742"
102/01/17,100.50,101.00,98.50,99.3,+0.10,"9,034"
102/01/18,101.50,101.50,100.50,101.5,+2.20,"11,823"
102/01/21,101.00,101.00,100.00,100.5,-1.00,"5,625"
102/01/22,101.00,101.00,99.90,101.0,+0.50,"5,388"
102/01/23,101.50,101.50,100.00,101.0, 0.00,"7,292"
102/01/24,100.00,100.50,99.20,99.9,-1.10,"8,257"
102/01/25,99.90,99.90,98.00,99.0,-0.90,"11,885"
102/01/28,98.70,99.50,98.60,99.3,+0.30,"7,200"
102/01/29,100.00,101.50,99.70,101.0,+1.70,"12,071"
102/01/30,102.00,102.00,100.50,101.5,+0.50,"6,963"
102/01/31,100.50,101.50,100.00,101.5, 0.00,"6,481"
102/02/01,101.50,101.50,100.50,101.5, 0.00,"7,596"
102/02/04,102.00,103.00,102.00,103.0,+1.50,"10,873"
102/02/05,103.00,103.00,101.50,103.0, 0.00,"5,200"
102/02/06,103.50,105.00,103.00,105.0,+2.00,"9,340"
102/02/18,107.00,108.50,106.50,107.0,+2.00,"13,470"
102/02/19,108.50,108.50,106.50,107.0, 0.00,"6,114"
102/02/20,108.50,109.50,108.00,109.0,+2.00,"10,171"
102/02/21,108.50,108.50,107.00,107.0,-2.00,"7,485"
102/02/22,106.00,106.50,105.00,105.5,-1.50,"10,313"
102/02/23,106.50,107.50,106.00,107.0,+1.50,"3,022"
102/02/25,106.50,107.00,105.00,105.0,-2.00,"8,564"
102/02/26,103.50,105.00,102.50,103.5,-1.50,"9,572"
102/02/27,102.00,104.50,101.00,104.5,+1.00,"13,654"
102/03/01,103.00,105.00,102.50,105.0,+0.50,"9,263"
102/03/04,104.50,104.50,101.50,102.0,-3.00,"11,896"
102/03/05,103.50,104.00,102.50,104.0,+2.00,"9,603"
102/03/06,104.00,104.50,103.00,104.0, 0.00,"6,844"
102/03/07,103.50,104.00,103.00,103.0,-1.00,"6,812"
102/03/08,103.00,104.50,102.00,103.5,+0.50,"8,598"
102/03/11,102.00,104.00,102.00,102.0,-1.50,"9,071"
102/03/12,102.00,103.00,101.50,102.5,+0.50,"6,294"
102/03/13,102.50,105.00,102.00,104.5,+2.00,"9,978"
102/03/14,104.00,104.50,103.00,104.0,-0.50,"7,022"
