日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/01/03,181.50,183.50,181.00,183.0,+1.50,"8,743"
106/01/04,183.00,184.00,181.50,183.0, 0.00,"8,476"
106/01/05,182.00,183.50,181.50,183.5,+0.50,"8,297"
106/01/06,184.00,184.50,183.50,184.0,+0.50,"9,659"
106/01/09,184.00,185.00,183.00,184.0, 0.00,"5,759"
106/01/10,184.50,185.50,183.50,184.0, 0.00,"7,831"
106/01/11,185.00,185.00,181.50,182.0,-2.00,"10,509"
106/01/12,182.50,185.50,182.50,184.5,+2.50,"13,220"
106/01/13,180.50,182.50,180.50,181.5,-3.00,"16,366"
106/01/16,180.00,180.50,179.00,179.5,-2.00,"13,441"
106/01/17,180.50,181.00,179.50,181.0,+1.50,"5,771"
106/01/18,180.50,181.00,179.50,181.0, 0.00,"7,783"
106/01/19,179.50,181.00,179.50,180.5,-0.50,"8,400"
106/01/20,181.00,181.50,180.50,181.0,+0.50,"7,803"
106/01/23,182.50,185.00,182.50,185.0,+4.00,"13,560"
106/01/24,185.00,186.50,184.50,185.5,+0.50,"14,227"
106/02/02,188.00,188.50,184.00,184.5,-1.00,"21,047"
106/02/03,186.00,186.00,183.50,184.5, 0.00,"8,079"
106/02/06,184.50,185.50,184.00,184.5, 0.00,"8,330"
106/02/07,183.50,185.00,183.00,184.5, 0.00,"8,712"
106/02/08,183.50,184.50,183.00,183.5,-1.00,"8,245"
106/02/09,184.00,185.50,183.50,184.0,+0.50,"6,639"
106/02/10,184.50,185.50,184.00,185.5,+1.50,"9,566"
106/02/13,186.50,188.00,186.50,187.5,+2.00,"10,124"
106/02/14,189.00,190.00,187.50,187.5, 0.00,"11,413"
106/02/15,187.00,189.50,186.50,189.0,+1.50,"12,905"
106/02/16,190.00,190.50,188.00,189.0, 0.00,"9,035"
106/02/17,190.00,190.50,189.00,189.5,+0.50,"7,390"
106/02/18,190.00,190.50,189.50,189.5, 0.00,"1,771"
106/02/20,190.00,190.50,189.50,190.0,+0.50,"6,466"
106/02/21,190.00,190.00,188.50,190.0, 0.00,"8,646"
106/02/22,190.50,191.00,188.50,188.5,-1.50,"6,199"
106/02/23,188.00,189.50,187.00,188.5, 0.00,"7,885"
106/02/24,187.50,190.50,187.50,189.0,+0.50,"7,417"
106/03/01,188.50,188.50,186.00,186.0,-3.00,"12,019"
106/03/02,188.00,188.50,185.00,186.0, 0.00,"12,567"
106/03/03,184.50,185.00,184.00,184.0,-2.00,"11,570"
106/03/06,184.00,184.50,183.50,183.5,-0.50,"5,831"
106/03/07,184.00,185.50,184.00,185.5,+2.00,"5,824"
106/03/08,186.00,188.00,185.50,187.0,+1.50,"9,614"
106/03/09,185.50,186.00,184.00,184.5,-2.50,"12,394"
106/03/10,184.00,184.50,183.00,183.5,-1.00,"10,065"
106/03/13,185.00,186.50,185.00,186.5,+3.00,"4,141"
106/03/14,188.00,188.00,186.00,186.0,-0.50,"7,773"
106/03/15,185.50,187.00,185.50,186.5,+0.50,"4,952"
106/03/16,188.00,190.00,188.00,190.0,+3.50,"15,071"
106/03/17,189.50,191.50,189.00,191.5,+1.50,"10,731"
106/03/20,191.50,191.50,189.50,191.5, 0.00,"6,790"
106/03/21,192.00,195.00,191.50,195.0,+3.50,"13,192"
106/03/22,192.50,193.50,191.50,193.5,-1.50,"9,435"
106/03/23,192.00,193.50,192.00,193.5, 0.00,"6,052"
106/03/24,192.00,193.00,192.00,192.5,-1.00,"5,225"
106/03/27,194.50,194.50,192.00,193.0,+0.50,"6,963"
